Iteration,Time(ms),Cost,Temperature
1000,1316,61947.0,4699.869851807203
2000,2332,61213.0,4490.358474903218
6000,6403,58080.0,3602.4764845773143
7000,6618,61689.0,3416.84932398217
9000,6794,60010.0,3131.194342597908
11000,6982,58455.0,2776.5481970538362
13000,7232,58218.0,2450.5249209509125
14000,7314,58843.0,2338.009449865438
15000,7412,59909.0,2191.084572195988
16000,7501,60919.0,2086.5129227183083
17000,7630,56502.0,1951.0952065503964
20000,7875,57256.0,1652.3236149534773
22000,8107,52532.0,1490.2999201596376
23000,8215,52426.0,1397.7645118805997
24000,8344,52862.0,1307.5705166922414
27000,8626,57640.0,1113.226774738201
28000,8735,56594.0,1042.1225035490306
31000,9043,55489.0,868.70681004089
32000,9164,54247.0,809.5691198656417
33000,9269,53830.0,767.1631304805076
37000,9703,50437.0,614.4873662693035
38000,9839,50118.0,573.4007773866177
39000,9953,50520.0,539.1974519595294
40000,10075,48758.0,507.99868235914886
42000,10302,49040.0,457.3155337294131
43000,10392,48308.0,435.96902981174156
44000,10539,47255.0,410.66106630370086
46000,10746,47130.0,370.577679023324
47000,10848,47466.0,350.42976020801126
48000,10980,45372.0,327.8502526493598
51000,11373,43407.0,273.7863196178921
53000,11550,47598.0,245.43753657777924
54000,11643,46439.0,231.5601278128972
56000,11815,43801.0,208.81201570454638
57000,11943,42482.0,196.76919258718877
59000,12236,40255.0,176.02497005038845
60000,12366,39538.0,166.92142706539548
62000,12585,38848.0,149.32387948349717
63000,12658,38949.0,141.8563703835343
66000,12930,37537.0,122.5486083398975
69000,13237,37423.0,105.45667905899636
74000,13779,35497.0,78.86880041023274
77000,14207,32560.0,67.71299369990955
78000,14320,32498.0,64.30745155824404
79000,14430,32305.0,61.14652247413625
82000,14805,31518.0,51.803861933334176
87000,15370,29257.0,39.64446434289227
90000,15689,28620.0,33.802790381965195
92000,15896,27746.0,30.39986140656469
95000,16279,27040.0,25.76017691047356
96000,16423,26856.0,24.50132661628381
98000,16615,26746.0,21.591958274604096
99000,16680,26645.0,20.538854692770858
101000,16902,26437.0,18.681125877218612
105000,17311,25761.0,15.20164122112119
108000,17624,25137.0,12.80447624617797
110000,17808,24982.0,11.50969226626154
111000,17901,24964.0,10.924269524450596
112000,18018,24938.0,10.330328475234388
113000,18108,24940.0,9.771610566477426
114000,18193,24950.0,9.26254293015211
119000,18710,24668.0,7.0934036197553025
120000,18825,24559.0,6.762975117646755
122000,19130,24251.0,6.046969902542762
124000,19352,24075.0,5.433328630910448
125000,19464,24002.0,5.1791945842072025
126000,19560,23880.0,4.931026115149561
127000,19645,23891.0,4.676941909327712
128000,19770,23766.0,4.4235461596445464
130000,20001,23649.0,3.95324220098191
135000,20559,23283.0,2.9397402926640837
136000,20697,23195.0,2.772690965793275
137000,20819,23182.0,2.598969658282004
141000,21183,22991.0,2.0959445804673114
149000,21994,22779.0,1.3338663152101804
151000,22173,22729.0,1.1903841124444041
153000,22322,22684.0,1.0716192081393145
154000,22412,22667.0,1.016706166082648
156000,22615,22647.0,0.9117975553953064
160000,23035,22488.0,0.745092141820059
163000,23337,22434.0,0.627911564352232
167000,23726,22366.0,0.49734685480900515
168000,23840,22362.0,0.4688039783567994
169000,23973,22349.0,0.44446977696160767
170000,24071,22286.0,0.42165161834166703
171000,24159,22276.0,0.4004451662723953
173000,24344,22082.0,0.3578347252832567
176000,24669,21867.0,0.30137719899333315
178000,24811,21819.0,0.2657500864667274
179000,24912,21817.0,0.25137693919279164
181000,25079,21782.0,0.22393319752002777
182000,25172,21742.0,0.21114494522326288
183000,25277,21716.0,0.19797517055807756
184000,25364,21712.0,0.18709916986550926
185000,25458,21689.0,0.1769975731098359
186000,25547,21666.0,0.16865135672173207
188000,25729,21630.0,0.1505398639254333
192000,26120,21485.0,0.11920160924507213
194000,26332,21429.0,0.10628354966719072
197000,26644,21271.0,0.1
199000,26856,21253.0,0.1
201000,27067,21242.0,0.1
202000,27191,21212.0,0.1
203000,27299,21198.0,0.1
208000,27837,21077.0,0.1
209000,27941,21065.0,0.1
210000,28035,21047.0,0.1
213000,28372,21031.0,0.1
214000,28481,21016.0,0.1
215000,28585,21016.0,0.1
218000,28865,20985.0,0.1
219000,28992,20982.0,0.1
220000,29111,20962.0,0.1
221000,29212,20933.0,0.1
223000,29421,20925.0,0.1
224000,29538,20899.0,0.1
227000,29887,20810.0,0.1
228000,29978,20810.0,0.1
229000,30085,20789.0,0.1
231000,30280,20778.0,0.1
235000,30686,20758.0,0.1
239000,31137,20691.0,0.1
240000,31248,20675.0,0.1
243000,31510,20606.0,0.1
244000,31619,20605.0,0.1
245000,31744,20599.0,0.1
246000,31853,20591.0,0.1
247000,31961,20463.0,0.1
249000,32169,20462.0,0.1
251000,32368,20410.0,0.1
255000,32806,20267.0,0.1
257000,33016,20259.0,0.1
259000,33242,20224.0,0.1
260000,33344,20224.0,0.1
263000,33674,20190.0,0.1
267000,34041,20160.0,0.1
268000,34125,20158.0,0.1
269000,34203,20156.0,0.1
270000,34291,20156.0,0.1
271000,34394,20145.0,0.1
274000,34675,20112.0,0.1
276000,34854,20103.0,0.1
278000,35006,20089.0,0.1
279000,35119,20089.0,0.1
280000,35231,20086.0,0.1
281000,35339,20066.0,0.1
282000,35447,20065.0,0.1
283000,35547,20055.0,0.1
285000,35747,20053.0,0.1
286000,35842,20053.0,0.1
287000,35914,20000.0,0.1
288000,36005,20000.0,0.1
289000,36115,19998.0,0.1
290000,36215,19998.0,0.1
291000,36282,19987.0,0.1
294000,36513,19960.0,0.1
295000,36606,19959.0,0.1
296000,36686,19924.0,0.1
297000,36783,19883.0,0.1
298000,36882,19882.0,0.1
301000,37088,19821.0,0.1
302000,37167,19810.0,0.1
303000,37278,19810.0,0.1
305000,37476,19807.0,0.1
307000,37639,19798.0,0.1
308000,37727,19798.0,0.1
309000,37821,19739.0,0.1
310000,37921,19725.0,0.1
311000,38025,19710.0,0.1
312000,38120,19701.0,0.1
315000,38352,19698.0,0.1
316000,38421,19693.0,0.1
318000,38600,19693.0,0.1
320000,38717,19641.0,0.1
321000,38811,19628.0,0.1
322000,38891,19609.0,0.1
323000,38992,19608.0,0.1
324000,39071,19599.0,0.1
326000,39269,19576.0,0.1
327000,39360,19576.0,0.1
328000,39426,19571.0,0.1
332000,39749,19555.0,0.1
333000,39860,19554.0,0.1
334000,39932,19533.0,0.1
335000,40012,19522.0,0.1
336000,40095,19522.0,0.1
338000,40303,19520.0,0.1
340000,40495,19519.0,0.1
341000,40592,19517.0,0.1
342000,40711,19494.0,0.1
343000,40798,19493.0,0.1
345000,40976,19475.0,0.1
347000,41137,19445.0,0.1
348000,41230,19399.0,0.1
350000,41409,19395.0,0.1
351000,41491,19365.0,0.1
353000,41658,19239.0,0.1
354000,41708,19239.0,0.1
356000,41910,19229.0,0.1
358000,42106,19228.0,0.1
360000,42290,19187.0,0.1
361000,42345,19186.0,0.1
362000,42410,19186.0,0.1
363000,42525,19185.0,0.1
364000,42632,19185.0,0.1
365000,42735,19164.0,0.1
366000,42831,19164.0,0.1
367000,42905,19164.0,0.1
369000,43109,19134.0,0.1
370000,43206,19134.0,0.1
372000,43356,19134.0,0.1
373000,43437,19123.0,0.1
376000,43684,19119.0,0.1
377000,43797,19119.0,0.1
378000,43917,19101.0,0.1
379000,44040,19101.0,0.1
380000,44143,19101.0,0.1
381000,44229,19099.0,0.1
382000,44306,19082.0,0.1
384000,44494,19079.0,0.1
386000,44667,19078.0,0.1
388000,44841,19076.0,0.1
389000,44922,19076.0,0.1
390000,45020,19076.0,0.1
392000,45184,19075.0,0.1
393000,45261,19056.0,0.1
395000,45446,19055.0,0.1
396000,45552,19055.0,0.1
397000,45648,19034.0,0.1
398000,45704,19034.0,0.1
399000,45796,19033.0,0.1
400000,45902,19025.0,0.1
401000,45951,19025.0,0.1
402000,46043,19023.0,0.1
403000,46183,19003.0,0.1
405000,46350,19002.0,0.1
408000,46574,18962.0,0.1
409000,46658,18951.0,0.1
410000,46748,18941.0,0.1
411000,46846,18901.0,0.1
412000,46917,18871.0,0.1
413000,47008,18852.0,0.1
415000,47205,18839.0,0.1
418000,47498,18828.0,0.1
419000,47594,18815.0,0.1
420000,47686,18803.0,0.1
421000,47781,18802.0,0.1
423000,47983,18800.0,0.1
424000,48096,18789.0,0.1
425000,48191,18789.0,0.1
427000,48420,18788.0,0.1
428000,48517,18773.0,0.1
431000,48805,18754.0,0.1
432000,48903,18749.0,0.1
434000,49075,18749.0,0.1
435000,49181,18729.0,0.1
436000,49237,18728.0,0.1
437000,49324,18726.0,0.1
438000,49380,18726.0,0.1
440000,49590,18715.0,0.1
441000,49706,18715.0,0.1
443000,49904,18715.0,0.1
444000,50003,18697.0,0.1
445000,50123,18687.0,0.1
447000,50359,18686.0,0.1
448000,50483,18674.0,0.1
450000,50661,18674.0,0.1
454000,51026,18650.0,0.1
455000,51130,18639.0,0.1
456000,51221,18550.0,0.1
458000,51341,18542.0,0.1
459000,51430,18542.0,0.1
461000,51616,18533.0,0.1
463000,51773,18533.0,0.1
465000,51995,18512.0,0.1
466000,52107,18507.0,0.1
469000,52355,18506.0,0.1
472000,52617,18496.0,0.1
474000,52777,18494.0,0.1
475000,52827,18494.0,0.1
476000,52898,18494.0,0.1
481000,53305,18479.0,0.1
482000,53404,18479.0,0.1
483000,53497,18479.0,0.1
484000,53617,18439.0,0.1
485000,53694,18438.0,0.1
487000,53865,18437.0,0.1
490000,54133,18419.0,0.1
491000,54235,18405.0,0.1
492000,54332,18405.0,0.1
493000,54426,18403.0,0.1
495000,54622,18403.0,0.1
497000,54760,18403.0,0.1
498000,54815,18403.0,0.1
500000,55025,18403.0,0.1
501000,55088,18399.0,0.1
502000,55169,18394.0,0.1
504000,55366,18267.0,0.1
