Iteration,Time(ms),Cost,Temperature
1000,1050,116493.0,4676.4279839445435
2000,2075,116003.0,4379.923646772754
5000,4753,140335.0,3561.9956238585996
6000,5617,126148.0,3325.1590783440793
7000,6232,131150.0,3106.243476833897
9000,7391,130260.0,2712.0568314147845
10000,7717,133800.0,2530.213926677203
11000,8031,133620.0,2362.4528557179488
12000,8335,133614.0,2207.359554957338
14000,8990,107707.0,1925.5087128696061
15000,9339,105781.0,1792.6350350491057
17000,9712,96464.0,1550.6580256678706
18000,9842,92214.0,1447.9893635229985
20000,10162,97971.0,1262.3424569995811
21000,10283,95324.0,1179.1167928830919
23000,10645,80922.0,1028.867684574066
24000,10750,80143.0,959.2105821440027
25000,10874,79436.0,896.0598706690015
26000,10975,80592.0,836.4809865957125
27000,11069,82349.0,780.395092451315
28000,11187,76420.0,728.3610477694266
29000,11284,79170.0,681.0893589336318
30000,11397,75921.0,635.8674181256367
35000,12167,66483.0,453.89832690777797
36000,12276,66657.0,423.2105135363193
37000,12415,65307.0,394.16364588354304
38000,12551,66912.0,368.4344427151837
39000,12661,66649.0,344.93620866121245
40000,12810,64388.0,322.93665914820355
41000,12990,63559.0,302.27974515116256
43000,13227,63902.0,263.23468734776634
44000,13369,64070.0,245.85515614734032
45000,13558,61980.0,229.3935531358845
46000,13710,61435.0,214.7846312424765
47000,13824,61616.0,200.48358352121554
48000,13949,61249.0,187.77211822123172
50000,14187,60684.0,164.02556995421045
51000,14356,59928.0,153.07360356918113
53000,14742,59301.0,133.79545042946913
55000,15009,58932.0,116.79325832332346
56000,15162,58024.0,109.18044570810804
57000,15355,57925.0,101.9516369651845
58000,15494,57996.0,95.22048890326488
61000,15835,57734.0,77.88123885005022
63000,16128,56802.0,68.12051337483766
65000,16405,56132.0,59.4759248705186
66000,16550,55115.0,55.48807520043359
68000,16858,54804.0,48.40781709739378
70000,17117,53697.0,42.31131652901878
72000,17399,53291.0,36.930869755741206
73000,17520,53244.0,34.475341860869314
76000,17865,52812.0,28.166525508582843
77000,18031,52797.0,26.28059328572368
78000,18163,52763.0,24.50622761674488
79000,18320,52725.0,22.87681228185036
80000,18432,52725.0,21.3343903949399
81000,18555,52037.0,19.899942912242732
82000,18689,51983.0,18.610268769743936
83000,18803,51758.0,17.358981402498166
84000,18926,51711.0,16.18373179191686
85000,19038,51747.0,15.134897606149874
88000,19440,51126.0,12.322081495570924
89000,19590,50971.0,11.494738640584421
91000,19824,50950.0,10.019994589712407
92000,19946,50688.0,9.351896018569873
93000,20059,50685.0,8.733582788412486
94000,20202,50624.0,8.147182891526283
97000,20542,50619.0,6.631704892507303
98000,20637,50627.0,6.185812968109789
99000,20743,50626.0,5.7785629885335945
100000,20881,50576.0,5.391650582934397
102000,21123,50553.0,4.714037941631802
103000,21241,50319.0,4.400162217967927
104000,21379,50030.0,4.121586399808888
106000,21670,50009.0,3.597471858716145
108000,21939,49773.0,3.1384357651748425
109000,22077,49709.0,2.9309338477290714
110000,22185,49706.0,2.738520185947379
111000,22304,49699.0,2.560786252347971
112000,22447,49671.0,2.389802880896863
113000,22559,49562.0,2.2264476776737987
117000,23063,49541.0,1.6938324353561176
119000,23266,49535.0,1.4759277709696124
121000,23513,49506.0,1.284256348698535
122000,23656,49473.0,1.1998258648427904
125000,24030,49438.0,0.9746918033721744
126000,24177,49427.0,0.9111594885521066
127000,24283,49226.0,0.8526205710523311
128000,24417,49223.0,0.7952934382305794
129000,24552,49214.0,0.7423402574245413
130000,24680,49212.0,0.6927050156895589
132000,24976,48695.0,0.6034102691101241
133000,25123,48681.0,0.5636277044796315
134000,25249,48679.0,0.5257314099569171
135000,25390,48655.0,0.4915615175583567
137000,25646,48655.0,0.4307295888746748
138000,25827,48646.0,0.4027746135777269
139000,25972,48638.0,0.3761446262626284
140000,26164,48631.0,0.35113482745737723
141000,26296,48629.0,0.3278534937787261
143000,26615,48314.0,0.2856764731723295
148000,27315,48035.0,0.20304809795048936
149000,27437,48033.0,0.18918764466720303
152000,27860,47510.0,0.15435099167591898
153000,27982,47508.0,0.14398738629244087
154000,28120,47441.0,0.13461546886681447
155000,28236,47439.0,0.1258787296133294
156000,28405,47428.0,0.11746207551009268
157000,28529,47420.0,0.10976175240545133
158000,28664,47415.0,0.102668852988428
160000,28906,47392.0,0.1
161000,29030,47099.0,0.1
162000,29162,47093.0,0.1
164000,29484,47083.0,0.1
165000,29653,47075.0,0.1
167000,29902,47047.0,0.1
170000,30270,47042.0,0.1
172000,30495,47042.0,0.1
173000,30592,47040.0,0.1
174000,30699,47039.0,0.1
175000,30820,46957.0,0.1
177000,31080,46786.0,0.1
178000,31226,46720.0,0.1
179000,31342,46720.0,0.1
181000,31582,46715.0,0.1
182000,31682,46715.0,0.1
183000,31796,46715.0,0.1
184000,31921,46712.0,0.1
185000,32040,46711.0,0.1
186000,32156,46708.0,0.1
187000,32273,46707.0,0.1
189000,32567,46681.0,0.1
190000,32681,46669.0,0.1
192000,32919,46663.0,0.1
193000,33034,46660.0,0.1
194000,33164,46656.0,0.1
195000,33298,46636.0,0.1
197000,33568,46619.0,0.1
198000,33694,46617.0,0.1
199000,33815,46616.0,0.1
203000,34317,46574.0,0.1
204000,34472,46570.0,0.1
206000,34732,46562.0,0.1
207000,34870,46558.0,0.1
209000,35122,46558.0,0.1
211000,35438,46550.0,0.1
212000,35558,46550.0,0.1
213000,35677,46546.0,0.1
214000,35814,46538.0,0.1
216000,36049,46535.0,0.1
217000,36190,46531.0,0.1
218000,36309,46526.0,0.1
220000,36509,46525.0,0.1
221000,36613,46523.0,0.1
223000,36836,46520.0,0.1
224000,36956,46517.0,0.1
226000,37192,46513.0,0.1
227000,37302,46513.0,0.1
228000,37425,46512.0,0.1
229000,37521,46510.0,0.1
230000,37625,46505.0,0.1
231000,37742,46505.0,0.1
233000,37962,46504.0,0.1
234000,38066,46504.0,0.1
237000,38473,46495.0,0.1
238000,38589,46487.0,0.1
239000,38714,46369.0,0.1
241000,38956,46367.0,0.1
244000,39312,46359.0,0.1
245000,39446,46328.0,0.1
246000,39613,46326.0,0.1
248000,39890,46324.0,0.1
249000,40006,46324.0,0.1
250000,40133,46318.0,0.1
251000,40267,46317.0,0.1
252000,40420,46317.0,0.1
256000,40867,46305.0,0.1
258000,41085,46266.0,0.1
259000,41191,46260.0,0.1
261000,41410,46257.0,0.1
262000,41540,46254.0,0.1
263000,41656,46253.0,0.1
265000,41880,46250.0,0.1
267000,42123,46228.0,0.1
269000,42360,46225.0,0.1
271000,42593,46203.0,0.1
273000,42817,46162.0,0.1
274000,42937,46158.0,0.1
277000,43275,46157.0,0.1
279000,43506,46154.0,0.1
281000,43743,46153.0,0.1
282000,43882,46152.0,0.1
283000,43992,46152.0,0.1
284000,44105,45880.0,0.1
286000,44348,45862.0,0.1
289000,44739,45857.0,0.1
290000,44856,45857.0,0.1
291000,44970,45856.0,0.1
292000,45082,45855.0,0.1
293000,45192,45854.0,0.1
294000,45322,45850.0,0.1
295000,45484,45848.0,0.1
296000,45599,45846.0,0.1
297000,45725,45846.0,0.1
298000,45831,45846.0,0.1
299000,45936,45846.0,0.1
300000,46090,45844.0,0.1
301000,46244,45843.0,0.1
302000,46356,45837.0,0.1
303000,46463,45834.0,0.1
304000,46569,45834.0,0.1
305000,46685,45781.0,0.1
307000,46953,45770.0,0.1
308000,47074,45766.0,0.1
309000,47192,45765.0,0.1
311000,47394,45765.0,0.1
312000,47509,45765.0,0.1
313000,47612,45764.0,0.1
