Iteration,Time(ms),Cost,Temperature
3000,3352,116146.0,4063.4303950013627
4000,3494,116091.0,3803.890053966673
6000,3889,114799.0,3326.4894745578395
7000,4039,114964.0,3104.6906656887672
9000,4403,113261.0,2703.121348745296
10000,4639,113699.0,2519.356823430079
11000,4807,114546.0,2350.4344182885993
13000,5097,115233.0,2049.494791200421
14000,5244,114622.0,1915.7131286194146
15000,5389,114673.0,1789.2320921520538
18000,5894,112055.0,1450.4531622685167
20000,6188,113686.0,1269.5587166244147
22000,6453,114797.0,1109.1152411195658
23000,6590,114514.0,1038.169755373087
24000,6728,112576.0,967.1088424456682
25000,6924,112073.0,899.651468140452
27000,7198,111655.0,785.4844374754502
28000,7327,112045.0,733.1110528759364
29000,7461,111784.0,684.5035046896666
31000,7770,110684.0,596.1467456708191
32000,7946,110008.0,557.9579181895956
33000,8090,109998.0,520.5469438362311
34000,8249,109302.0,485.8386746574571
35000,8435,108627.0,453.94372127990596
36000,8659,108560.0,424.5670242658561
37000,8808,108118.0,396.5755134356854
39000,9140,107547.0,344.48806054156853
41000,9440,107127.0,300.32120104324065
42000,9674,106039.0,280.6614635034714
43000,9842,105394.0,262.3674013235359
44000,10032,104610.0,244.55550595160054
47000,10504,103958.0,199.88300406082604
48000,10676,103831.0,186.33175341295086
50000,11061,102450.0,162.3609300041632
53000,11588,101675.0,132.4376057228076
54000,11741,101486.0,123.68131463208381
55000,11888,101072.0,115.5732841844862
57000,12312,97284.0,100.57441219711528
58000,12538,96440.0,93.96237847509785
59000,12754,95622.0,87.83772718546052
60000,12924,95194.0,82.03021727325894
62000,13293,94480.0,71.63479411550236
65000,13820,94042.0,58.52598253845162
66000,14027,93114.0,54.61821014911695
72000,15332,90342.0,36.073070050584654
73000,15559,89585.0,33.6712096695064
74000,15722,89406.0,31.441847687467256
76000,16078,88764.0,27.353179353900597
78000,16471,87562.0,23.92265860519896
79000,16662,87073.0,22.320880895475593
81000,17048,86213.0,19.445500526771657
82000,17217,85874.0,18.127175075091532
83000,17419,85591.0,16.884712849539593
84000,17611,85585.0,15.763627231292173
85000,17810,85331.0,14.686102992584203
87000,18270,84702.0,12.8006352874256
89000,18741,84535.0,11.169512696912703
90000,19055,84065.0,10.432068493166529
91000,19349,83748.0,9.724816890705716
92000,19855,83327.0,9.07186245492557
93000,20227,83216.0,8.492422413755538
95000,20864,83100.0,7.413980649300873
96000,21174,82983.0,6.927258246399873
97000,21455,82803.0,6.467959429815801
99000,22105,81873.0,5.616190621812854
