Iteration,Time(ms),Cost,Temperature
1000,348,43452.0,4733.832732556395
3000,692,38495.0,4302.646945059732
4000,850,43913.0,4107.9662928183025
6000,1120,44535.0,3774.3336535211115
10000,1615,41681.0,3144.059237670462
11000,1752,41755.0,2995.802974753618
13000,1989,41862.0,2722.3827705378903
19000,2702,43377.0,2031.3343135254975
20000,2806,42650.0,1943.5003750453088
22000,3038,46337.0,1778.3504550360176
23000,3161,42546.0,1700.4348013146189
24000,3270,40401.0,1621.7107550491041
26000,3547,39990.0,1469.2861613928299
29000,3860,37602.0,1268.5434250564695
31000,3916,37538.0,1156.4612635245821
33000,3979,38514.0,1057.1326727830633
37000,4095,36534.0,877.8767479721337
41000,4182,38480.0,736.2703760486831
42000,4201,37261.0,701.4818245999271
52000,4431,36274.0,442.735257411005
54000,4504,36293.0,405.1136066588078
55000,4533,36402.0,387.59668521075713
56000,4559,37013.0,371.17110759793974
57000,4609,35707.0,353.91641965554504
68000,4959,34000.0,215.36536241814923
72000,5049,36542.0,182.6236906405894
73000,5071,36629.0,174.55247979396768
74000,5100,36352.0,166.6212237503044
75000,5133,35476.0,158.16210845166623
76000,5162,34719.0,151.3686594707347
77000,5190,34696.0,144.76562923433977
78000,5220,34550.0,138.3537511655964
81000,5284,34044.0,122.83080865528333
82000,5313,34043.0,117.57843983450414
83000,5339,33600.0,111.57567539073965
92000,5640,32620.0,74.19395385217976
93000,5665,32613.0,71.18489109967658
95000,5719,32625.0,65.03828372779202
97000,5770,32588.0,59.98964935995248
100000,5871,32191.0,52.28790938379327
102000,5914,32204.0,48.17600477918267
103000,5934,32189.0,46.08367891629208
107000,6049,32224.0,38.81280683451347
108000,6072,32156.0,37.164280377342266
110000,6124,32128.0,34.43055079735935
118000,6365,31575.0,23.7320313306615
120000,6431,31125.0,21.750164229573127
121000,6455,31118.0,20.8138599415836
122000,6474,31112.0,19.87607611033336
123000,6526,31061.0,18.786038910176085
124000,6553,31069.0,18.02413895719186
126000,6622,31111.0,16.467807217763863
129000,6752,30998.0,14.237796044916834
131000,6849,30940.0,12.943521032256408
136000,7046,30327.0,10.412265391762007
138000,7104,30330.0,9.516051225669834
139000,7139,30311.0,9.050115005022308
140000,7165,30314.0,8.634580380394755
149000,7457,30292.0,5.607772230325688
150000,7486,30315.0,5.353503538675935
154000,7611,30295.0,4.459970193819828
155000,7642,30288.0,4.272674329498987
157000,7689,30291.0,3.859875223854294
159000,7755,30235.0,3.4981348875916636
160000,7790,30239.0,3.3105925186228626
163000,7920,29765.0,2.8948128748225312
164000,7950,29772.0,2.7442774091723297
165000,7982,29776.0,2.6164420959303616
166000,8015,29776.0,2.491819025430496
167000,8047,29775.0,2.374556221468117
170000,8178,29732.0,2.0670110579556566
176000,8385,29648.0,1.5525353735979202
178000,8467,29620.0,1.4138049828414012
180000,8536,29621.0,1.2740227750978725
182000,8613,29605.0,1.1501292397960619
183000,8652,29591.0,1.0903204548564742
185000,8728,29544.0,0.9852760561511772
188000,8845,29523.0,0.8515128291102202
190000,8908,29516.0,0.7667105272908243
191000,8934,29517.0,0.722997949407217
193000,8989,29514.0,0.650864273078321
194000,9018,29514.0,0.6187483210395613
196000,9101,29501.0,0.5567372026461018
199000,9208,29485.0,0.47646083876168155
200000,9246,29483.0,0.4524978240344451
205000,9418,29465.0,0.350854017893502
206000,9445,29465.0,0.33284189862756425
211000,9654,29438.0,0.2584894698421223
212000,9704,29437.0,0.24642373825486652
215000,9801,29423.0,0.21245817635588446
217000,9870,29419.0,0.19145254028541012
219000,9945,29412.0,0.1721101400736286
220000,9983,29407.0,0.16317642149601286
221000,10009,29407.0,0.15452087968257677
222000,10040,29404.0,0.1468815817213548
225000,10156,29355.0,0.12417828311382137
228000,10267,29350.0,0.10564772595617064
230000,10342,29328.0,0.1
231000,10380,29322.0,0.1
232000,10424,29319.0,0.1
233000,10463,29317.0,0.1
234000,10499,29316.0,0.1
236000,10578,29313.0,0.1
238000,10644,29307.0,0.1
243000,10811,29293.0,0.1
245000,10906,29266.0,0.1
247000,10958,29266.0,0.1
250000,11049,29253.0,0.1
251000,11085,29253.0,0.1
255000,11221,29249.0,0.1
261000,11415,29245.0,0.1
262000,11454,29243.0,0.1
263000,11495,29239.0,0.1
266000,11590,29236.0,0.1
267000,11622,29231.0,0.1
268000,11651,29230.0,0.1
269000,11684,29226.0,0.1
270000,11713,29225.0,0.1
273000,11807,29222.0,0.1
274000,11842,29222.0,0.1
276000,11901,29221.0,0.1
277000,11932,29221.0,0.1
278000,11966,29221.0,0.1
281000,12090,29218.0,0.1
282000,12114,29218.0,0.1
283000,12141,29217.0,0.1
285000,12211,29213.0,0.1
287000,12265,29211.0,0.1
288000,12291,29210.0,0.1
289000,12313,29210.0,0.1
290000,12339,29209.0,0.1
291000,12362,29209.0,0.1
294000,12463,29207.0,0.1
296000,12509,29207.0,0.1
297000,12532,29207.0,0.1
299000,12589,29205.0,0.1
301000,12635,29205.0,0.1
302000,12661,29204.0,0.1
304000,12714,29204.0,0.1
305000,12742,29202.0,0.1
306000,12765,29202.0,0.1
308000,12825,29202.0,0.1
309000,12857,29200.0,0.1
312000,12930,29196.0,0.1
313000,12958,29193.0,0.1
314000,12984,29192.0,0.1
315000,13008,29192.0,0.1
318000,13118,29187.0,0.1
319000,13153,29187.0,0.1
321000,13225,29186.0,0.1
323000,13284,29183.0,0.1
