Iteration,Time(ms),Cost,Temperature
1000,1221,112548.0,4680.638874294528
2000,1583,113023.0,4443.00969946455
4000,2074,113631.0,4001.3298633041063
6000,2439,113708.0,3590.966410254697
8000,2690,112047.0,3254.102265733733
11000,3043,111148.0,2751.3949715411495
14000,3532,111125.0,2285.0748017911415
16000,3751,112190.0,2044.9906338380254
22000,4368,108685.0,1487.4708972806745
23000,4493,107111.0,1412.3778511261276
24000,4652,106890.0,1328.9267452612567
26000,4901,106928.0,1177.23162029454
27000,5080,107042.0,1104.1351870535823
28000,5184,106235.0,1051.7547526050532
30000,5475,105425.0,928.628731531696
33000,5881,103856.0,789.6587659124369
34000,5998,104122.0,746.800529041323
37000,6381,102610.0,618.618461897384
41000,6873,102128.0,485.74151178091233
45000,7279,103417.0,387.59668521075713
47000,7503,102336.0,342.4272178453892
48000,7604,102330.0,323.19512477148237
49000,7688,101409.0,304.95167977607525
52000,8024,100542.0,257.35201388187653
53000,8156,99934.0,241.34842621165478
55000,8408,99709.0,213.84160788592703
56000,8577,100026.0,201.8919626016088
57000,8658,98916.0,193.62641866493124
58000,8760,98558.0,184.23795216548228
59000,8877,98026.0,174.25597785103636
62000,9212,96490.0,147.3509224853094
63000,9329,95878.0,138.5337370070014
64000,9458,96033.0,130.67469156412062
67000,9768,94225.0,111.19694336679844
68000,9902,93458.0,104.63727581870646
69000,10074,92771.0,99.24556251098824
71000,10371,91161.0,86.91151854470458
72000,10513,90193.0,81.49872351196922
74000,10730,89209.0,73.49976378102272
75000,10848,88499.0,69.58015881260147
76000,11006,87971.0,65.39045808386867
77000,11131,87752.0,61.459181975996614
78000,11236,87056.0,58.06542584252409
79000,11376,86450.0,54.91396108051961
80000,11478,86406.0,51.907578525134745
84000,12035,83767.0,40.63186274026906
87000,12419,82065.0,34.02323521138096
88000,12551,81438.0,31.97136215893377
90000,12827,79338.0,28.46669376870486
94000,13376,76952.0,22.881388330702617
95000,13548,76480.0,21.47137522668688
96000,13704,76048.0,20.18253382094917
98000,13955,75684.0,18.053002107067027
100000,14192,75431.0,16.180495207395793
101000,14322,75262.0,15.068447032572884
102000,14438,74894.0,14.236372265312342
103000,14590,74677.0,13.327063490789875
106000,14910,74086.0,11.404283450953386
108000,15229,73084.0,10.158220109731118
111000,15658,72431.0,8.505171244060511
114000,16044,71397.0,7.071447020998355
115000,16170,71100.0,6.634358237767452
117000,16439,70876.0,5.833723693479775
118000,16586,70373.0,5.487388441901601
119000,16720,70191.0,5.171431228129379
122000,17113,69686.0,4.315186016600962
128000,17849,68825.0,3.024732526903827
129000,18029,68691.0,2.826726367497285
131000,18291,68034.0,2.5259409735920526
132000,18461,67576.0,2.3778830947925216
134000,18693,67144.0,2.1303901682889927
136000,18966,65912.0,1.9138171971519433
137000,19090,65726.0,1.8195646242400874
139000,19355,65472.0,1.6129926293752528
140000,19494,65293.0,1.506950133815923
141000,19622,65034.0,1.420607900851582
142000,19735,65031.0,1.3421623924382513
144000,20150,64294.0,1.1885997856375932
145000,20331,63598.0,1.1213945597657267
146000,20460,63525.0,1.057143123602368
148000,20725,63459.0,0.9382527948448697
149000,20857,63345.0,0.879291237989941
151000,21156,63082.0,0.7743390417809048
152000,21277,63080.0,0.7296805575381875
155000,21652,62520.0,0.6157852978897915
156000,21783,62515.0,0.5782435895968463
157000,21922,62302.0,0.5409310815924542
158000,22075,62057.0,0.5086137053100585
160000,22316,61982.0,0.4503759684337731
162000,22597,61646.0,0.3990459882203633
163000,22731,61640.0,0.37621986647372446
164000,22855,61515.0,0.3541677615454254
165000,22978,61446.0,0.33544834769751314
166000,23128,61260.0,0.315786062899039
168000,23458,61114.0,0.27787144334919445
170000,23710,60825.0,0.24743620033456135
171000,23837,60760.0,0.2326766443376938
173000,24115,60627.0,0.20437227571244634
174000,24260,60361.0,0.1911464458568232
176000,24539,60225.0,0.16792767673033318
179000,24917,59708.0,0.14151770536219715
180000,25104,59584.0,0.13279700117559004
181000,25244,59515.0,0.12473837264903317
182000,25407,59433.0,0.11668934000663651
183000,25572,59368.0,0.10911603252658812
184000,25701,59135.0,0.1027202028188443
186000,25986,59001.0,0.1
187000,26146,58989.0,0.1
188000,26269,58988.0,0.1
189000,26409,58979.0,0.1
192000,26810,58670.0,0.1
193000,26946,58664.0,0.1
194000,27061,58662.0,0.1
195000,27207,58660.0,0.1
196000,27366,58467.0,0.1
197000,27523,58341.0,0.1
198000,27665,58159.0,0.1
200000,27896,58150.0,0.1
202000,28158,57899.0,0.1
206000,28774,57153.0,0.1
207000,28897,56909.0,0.1
208000,29033,56907.0,0.1
209000,29166,56725.0,0.1
210000,29305,56533.0,0.1
211000,29436,56529.0,0.1
212000,29574,56464.0,0.1
213000,29721,56352.0,0.1
214000,29861,56283.0,0.1
215000,30049,56150.0,0.1
216000,30201,56148.0,0.1
217000,30337,56027.0,0.1
218000,30478,55963.0,0.1
219000,30643,55891.0,0.1
220000,30788,55734.0,0.1
222000,31093,55663.0,0.1
223000,31238,55483.0,0.1
224000,31379,55477.0,0.1
225000,31513,55477.0,0.1
226000,31657,55474.0,0.1
227000,31791,55470.0,0.1
228000,31913,55442.0,0.1
230000,32186,55372.0,0.1
232000,32462,55327.0,0.1
233000,32589,55323.0,0.1
235000,32843,55173.0,0.1
237000,33106,55157.0,0.1
240000,33545,54978.0,0.1
241000,33679,54725.0,0.1
243000,33946,54703.0,0.1
244000,34062,54697.0,0.1
246000,34339,54692.0,0.1
247000,34469,54572.0,0.1
248000,34593,54446.0,0.1
249000,34723,54303.0,0.1
250000,34868,54293.0,0.1
251000,35033,54291.0,0.1
254000,35416,54225.0,0.1
256000,35678,54219.0,0.1
257000,35788,54219.0,0.1
258000,35922,54216.0,0.1
259000,36062,54211.0,0.1
260000,36200,54210.0,0.1
263000,36561,54085.0,0.1
264000,36695,54081.0,0.1
265000,36815,53904.0,0.1
267000,37080,53902.0,0.1
268000,37202,53897.0,0.1
269000,37328,53895.0,0.1
271000,37585,53831.0,0.1
273000,37848,53753.0,0.1
274000,37962,53750.0,0.1
275000,38085,53734.0,0.1
278000,38502,53729.0,0.1
280000,38747,53723.0,0.1
281000,38859,53657.0,0.1
282000,38986,53418.0,0.1
283000,39121,53416.0,0.1
284000,39240,53415.0,0.1
286000,39484,52997.0,0.1
287000,39615,52996.0,0.1
288000,39750,52991.0,0.1
290000,40034,52709.0,0.1
291000,40177,52708.0,0.1
293000,40439,52628.0,0.1
