Iteration,Time(ms),Cost
289000,216887,13027.0
290000,217667,13026.0
291000,218339,13026.0
292000,219018,13026.0
293000,219692,13018.0
294000,220361,13018.0
295000,221031,12963.0
296000,221772,13163.0
297000,222446,13163.0
298000,223113,13148.0
299000,223760,13148.0
300000,224448,13042.0
301000,225137,13117.0
302000,225901,13052.0
303000,226575,13017.0
304000,227236,13017.0
305000,227875,13017.0
306000,228547,12961.0
307000,229219,12960.0
308000,229902,12960.0
309000,230551,12960.0
310000,231252,12960.0
311000,232039,12890.0
312000,232757,12890.0
313000,233531,13246.0
314000,234361,13412.0
315000,235137,13231.0
316000,235865,13231.0
317000,236680,13231.0
318000,237399,13231.0
319000,238142,13212.0
320000,239042,13187.0
321000,239869,13187.0
322000,240680,13177.0
323000,241525,13287.0
324000,242381,13287.0
325000,243258,13372.0
326000,244030,13371.0
327000,244823,13371.0
328000,245565,13371.0
329000,246410,13212.0
330000,247253,13212.0
331000,248063,13188.0
332000,248918,13172.0
333000,249827,13172.0
334000,250731,13217.0
335000,251512,13018.0
336000,252273,13018.0
337000,253106,13018.0
338000,253821,13018.0
339000,254660,12994.0
340000,255494,12993.0
341000,256237,12979.0
342000,257029,12979.0
343000,257822,12854.0
344000,258515,12853.0
345000,259204,12842.0
346000,259998,12842.0
347000,260745,12841.0
348000,261507,12827.0
349000,262369,12827.0
350000,263184,12782.0
351000,264094,12782.0
352000,264903,12782.0
353000,265586,12780.0
354000,266299,12766.0
355000,267169,12721.0
356000,268017,12721.0
357000,268819,12692.0
358000,269661,12603.0
359000,270460,12602.0
360000,271446,12602.0
361000,272321,12601.0
362000,273019,12601.0
363000,273696,12601.0
364000,274418,12600.0
365000,275128,12600.0
366000,275821,12600.0
367000,276496,12600.0
368000,277228,12600.0
369000,277945,12600.0
370000,278696,12600.0
371000,279394,12594.0
372000,280159,12594.0
373000,280900,12568.0
374000,281593,12523.0
375000,282310,12523.0
376000,283056,12509.0
377000,283773,12509.0
378000,284547,12509.0
379000,285225,12509.0
380000,285943,12505.0
381000,286675,12464.0
382000,287351,12464.0
383000,288079,12464.0
384000,288765,12464.0
385000,289521,12464.0
386000,290265,12462.0
387000,291011,12461.0
388000,291784,12461.0
389000,292533,12446.0
390000,293327,12446.0
391000,294048,12446.0
392000,294818,12446.0
393000,295536,12446.0
394000,296229,12446.0
395000,296969,12446.0
396000,297664,12446.0
397000,298461,12446.0
398000,299190,12446.0
399000,299985,12446.0
400000,300701,12446.0
401000,301516,12446.0
402000,302355,12446.0
403000,303194,12401.0
404000,304002,12401.0
405000,304770,12366.0
406000,305503,12366.0
407000,306355,12351.0
408000,307099,12351.0
409000,307842,12350.0
410000,308612,12330.0
411000,309336,12330.0
412000,310086,12310.0
413000,310815,12280.0
414000,311543,12280.0
415000,312251,12280.0
416000,312931,12280.0
417000,313615,12266.0
418000,314395,12256.0
419000,315051,12212.0
420000,315819,12212.0
421000,316449,12212.0
422000,317090,12093.0
423000,317761,12092.0
424000,318524,12092.0
425000,319232,12062.0
426000,319884,12062.0
427000,320588,12062.0
428000,321294,12033.0
429000,321987,11879.0
430000,322815,11877.0
431000,323491,11877.0
432000,324240,11876.0
433000,324949,11876.0
434000,325649,11862.0
435000,326436,11862.0
436000,327150,12247.0
437000,327861,12247.0
438000,328532,12247.0
439000,329267,12247.0
440000,330087,12247.0
441000,330805,12247.0
442000,331495,12233.0
443000,332235,12232.0
444000,332875,12232.0
445000,333584,12218.0
446000,334390,12218.0
447000,335057,12218.0
448000,335712,12217.0
449000,336581,12216.0
450000,337321,12186.0
451000,338063,12186.0
452000,338734,12185.0
453000,339588,12184.0
454000,340325,12184.0
455000,341010,12184.0
456000,341758,12184.0
457000,342445,12184.0
458000,343157,12184.0
459000,343881,12184.0
460000,344651,12229.0
461000,345349,12229.0
462000,346112,12064.0
463000,346747,12064.0
464000,347388,12049.0
465000,348019,12035.0
466000,348723,11931.0
467000,349346,12312.0
468000,350029,12282.0
469000,350732,12252.0
470000,351405,12252.0
471000,352018,12252.0
472000,352649,12252.0
473000,353504,12086.0
474000,354187,11886.0
475000,354911,11845.0
476000,355671,11844.0
477000,356417,11844.0
478000,357120,11814.0
479000,357868,11711.0
480000,358540,11667.0
481000,359220,11667.0
482000,359978,11667.0
483000,360785,11667.0
484000,361511,11667.0
485000,362207,11653.0
486000,362944,11653.0
487000,363678,11653.0
488000,364393,11653.0
489000,365119,11653.0
490000,365840,11517.0
491000,366568,11516.0
492000,367377,11516.0
493000,368073,11516.0
494000,368765,11516.0
495000,369603,11516.0
496000,370409,11516.0
497000,371103,11516.0
498000,371904,11516.0
499000,372620,11516.0
500000,373354,11511.0
501000,374104,11497.0
502000,374835,11497.0
503000,375618,11497.0
504000,376327,11497.0
505000,377041,11482.0
506000,377712,11482.0
507000,378504,11482.0
508000,379247,11482.0
509000,380035,11482.0
510000,380759,11482.0
511000,381538,11403.0
512000,382320,11402.0
513000,383037,11402.0
514000,383830,11402.0
515000,384628,11372.0
516000,385334,11342.0
517000,386034,11342.0
518000,386711,11342.0
519000,387394,11342.0
520000,388095,11326.0
521000,388775,11326.0
522000,389475,11717.0
523000,390208,11717.0
524000,391014,11717.0
525000,391803,11717.0
526000,392497,11717.0
