Iteration,Time(ms),Cost,Temperature
3000,1182,35019.0,4205.231127583969
5000,1595,35910.0,3771.6924124416255
6000,1786,35299.0,3563.7771560945675
10000,2500,34085.0,2871.142905991232
11000,2676,34685.0,2721.5661373754897
15000,4052,34188.0,2175.147100482976
16000,4394,33139.0,2056.88663939046
17000,4728,34625.0,1952.4615196655725
19000,5143,33780.0,1750.8220910363864
20000,5175,32693.0,1666.2622907393772
21000,5208,32535.0,1583.5678332169475
22000,5242,35826.0,1498.8193128831488
23000,5281,31539.0,1413.0842519578114
24000,5325,33476.0,1333.5863714437435
26000,5435,30254.0,1187.637497559767
28000,5514,30675.0,1052.7018053456275
29000,5542,31321.0,1004.3671654779256
32000,5633,33387.0,868.8805774675777
34000,5693,33077.0,786.4276317643055
37000,5782,31102.0,670.4792329232457
39000,5860,31105.0,605.0357785470815
41000,5931,30750.0,541.8461358863174
43000,5999,32178.0,489.88812008294843
44000,6028,31035.0,465.0172182978007
45000,6051,31538.0,446.24689423042366
46000,6081,32552.0,425.8001174127392
47000,6117,30928.0,402.408283180082
48000,6150,29996.0,380.26347694111735
52000,6290,30724.0,304.58593896137836
53000,6330,30147.0,287.4791646694078
54000,6357,30892.0,273.5400104703165
56000,6419,28341.0,246.34738313429762
58000,6492,27368.0,224.26714908224275
62000,6637,28056.0,185.1614950372593
64000,6711,26951.0,164.97973035897203
67000,6829,27472.0,142.3537624782819
69000,6881,26943.0,129.51678922203268
71000,6955,26292.0,117.7785031912262
72000,7028,24412.0,111.65380961407696
73000,7079,24274.0,106.09135298523837
75000,7134,24469.0,96.72732362151463
76000,7167,23971.0,92.67453978505232
77000,7192,24290.0,88.8359728812796
78000,7222,24662.0,84.88432037669016
82000,7385,22612.0,69.77526603543603
83000,7442,22493.0,66.50500393785337
90000,7808,19840.0,46.42133761027047
93000,7954,18733.0,39.707949434677644
94000,8030,18642.0,37.831760894747156
95000,8060,18701.0,36.05864298680434
96000,8091,18707.0,34.24854252556048
98000,8176,18232.0,30.757646636546728
99000,8214,18226.0,29.298496604623665
101000,8290,18244.0,26.518198123594818
106000,8500,17509.0,20.774349179234537
112000,8792,17007.0,15.35442793307091
113000,8829,16952.0,14.58365413845091
117000,8994,16831.0,12.050326817134007
118000,9032,16746.0,11.520056170562363
119000,9077,16730.0,11.072754606489166
120000,9124,16670.0,10.493802720921366
121000,9166,16605.0,10.010980200938164
125000,9404,16215.0,8.154519023705646
126000,9453,16197.0,7.6934502102272715
128000,9534,16050.0,6.934189316162801
129000,9587,15910.0,6.563745525675111
130000,9646,15826.0,6.182102408077161
131000,9685,15826.0,5.833723693479775
132000,9715,15832.0,5.549195757713305
133000,9753,15761.0,5.2506414156670775
134000,9796,15694.0,5.003050509975383
135000,9831,15696.0,4.746204249470134
143000,10203,15445.0,3.077826102087931
145000,10278,15388.0,2.742356991188125
146000,10338,15353.0,2.5942954872007102
147000,10387,15269.0,2.467764033445622
148000,10430,15263.0,2.33522846695057
149000,10485,15195.0,2.2193340772505454
153000,10690,15145.0,1.7673757157768981
155000,10777,15118.0,1.5881827762054548
156000,10822,15097.0,1.5039390950363527
157000,10864,15063.0,1.419613773598929
158000,10911,15047.0,1.3439084255271259
