iteration,time_ms,violations,status
0,0,24,INITIAL
1,30,3622,NO_IMPROVEMENT
501,1133,28816,NO_IMPROVEMENT
1001,1735,3608,NO_IMPROVEMENT
1501,2371,36008,NO_IMPROVEMENT
2001,2962,23406,NO_IMPROVEMENT
2501,3651,28807,NO_IMPROVEMENT
3001,4009,55807,NO_IMPROVEMENT
3501,4352,45011,NO_IMPROVEMENT
4001,4681,10813,NO_IMPROVEMENT
4501,5019,27006,NO_IMPROVEMENT
5001,5312,27006,NO_IMPROVEMENT
5501,5636,43206,NO_IMPROVEMENT
6001,5951,73803,NO_IMPROVEMENT
6501,6292,45004,NO_IMPROVEMENT
7001,6675,48604,NO_IMPROVEMENT
7501,6992,36003,NO_IMPROVEMENT
8001,7277,28804,NO_IMPROVEMENT
8501,7605,46803,NO_IMPROVEMENT
9001,7957,12603,NO_IMPROVEMENT
9501,8370,18003,NO_IMPROVEMENT
10001,8701,23405,NO_IMPROVEMENT
10501,9020,34204,NO_IMPROVEMENT
11001,9363,75602,NO_IMPROVEMENT
11501,10026,68402,NO_IMPROVEMENT
12001,10382,34206,NO_IMPROVEMENT
12501,11589,57606,NO_IMPROVEMENT
13001,13016,70203,NO_IMPROVEMENT
13501,14749,32403,NO_IMPROVEMENT
14001,16307,36004,NO_IMPROVEMENT
14501,17771,28803,NO_IMPROVEMENT
15001,19195,46803,NO_IMPROVEMENT
15501,20482,41400,NO_IMPROVEMENT
16001,20807,16206,NO_IMPROVEMENT
16501,21188,14406,NO_IMPROVEMENT
17001,21550,45005,NO_IMPROVEMENT
17501,21844,36005,NO_IMPROVEMENT
18001,22106,36001,NO_IMPROVEMENT
18501,22393,25203,NO_IMPROVEMENT
19001,22640,10802,NO_IMPROVEMENT
19501,22930,39600,NO_IMPROVEMENT
20001,23228,36005,NO_IMPROVEMENT
20501,23551,37807,NO_IMPROVEMENT
21001,23857,30614,NO_IMPROVEMENT
21501,24177,68410,NO_IMPROVEMENT
22001,24465,27009,NO_IMPROVEMENT
22501,24769,3607,NO_IMPROVEMENT
23001,25051,37813,NO_IMPROVEMENT
23501,25380,21606,NO_IMPROVEMENT
24001,25639,18006,NO_IMPROVEMENT
24501,25907,23406,NO_IMPROVEMENT
25001,26182,50404,NO_IMPROVEMENT
25501,26465,5,NO_IMPROVEMENT
26001,26742,21602,NO_IMPROVEMENT
26501,27066,59403,NO_IMPROVEMENT
27001,27392,63004,NO_IMPROVEMENT
27501,27681,68405,NO_IMPROVEMENT
28001,27951,34202,NO_IMPROVEMENT
28501,28245,28805,NO_IMPROVEMENT
29001,28521,30600,NO_IMPROVEMENT
29106,28579,0,FINAL
