iteration,time_ms,violations,status
0,0,23,INITIAL
1,38,21,NO_IMPROVEMENT
501,1074,43207,NO_IMPROVEMENT
1001,1635,5411,NO_IMPROVEMENT
1501,2084,57606,NO_IMPROVEMENT
2001,2627,77408,NO_IMPROVEMENT
2501,3107,73811,NO_IMPROVEMENT
3001,3569,88209,NO_IMPROVEMENT
3501,3945,106210,NO_IMPROVEMENT
4001,4389,93611,NO_IMPROVEMENT
4501,4800,100810,NO_IMPROVEMENT
5001,5187,135011,NO_IMPROVEMENT
5501,5544,106211,NO_IMPROVEMENT
6001,5867,117011,NO_IMPROVEMENT
6501,6255,104415,NO_IMPROVEMENT
7001,6603,108014,NO_IMPROVEMENT
7501,6953,140414,NO_IMPROVEMENT
8001,7360,102617,NO_IMPROVEMENT
8501,7732,84614,NO_IMPROVEMENT
9001,8090,93614,NO_IMPROVEMENT
9501,8494,135014,NO_IMPROVEMENT
10001,8857,68411,NO_IMPROVEMENT
10501,9171,77411,NO_IMPROVEMENT
11001,9518,84614,NO_IMPROVEMENT
11501,9856,90018,NO_IMPROVEMENT
12001,10220,77412,NO_IMPROVEMENT
12501,10527,66606,NO_IMPROVEMENT
13001,10853,61206,NO_IMPROVEMENT
13501,11203,126007,NO_IMPROVEMENT
14001,11520,108006,NO_IMPROVEMENT
14501,11854,100811,NO_IMPROVEMENT
15001,12180,66608,NO_IMPROVEMENT
15501,12514,113413,NO_IMPROVEMENT
16001,12862,100807,NO_IMPROVEMENT
16501,13177,59407,NO_IMPROVEMENT
17001,13549,66607,NO_IMPROVEMENT
17501,13869,55814,NO_IMPROVEMENT
18001,14228,59411,NO_IMPROVEMENT
18501,14590,81013,NO_IMPROVEMENT
19001,14945,72007,NO_IMPROVEMENT
19501,15285,66606,NO_IMPROVEMENT
20001,15622,84606,NO_IMPROVEMENT
20501,15940,77407,NO_IMPROVEMENT
21001,16277,95406,NO_IMPROVEMENT
21501,16609,120606,NO_IMPROVEMENT
22001,16946,102606,NO_IMPROVEMENT
22501,17255,77410,NO_IMPROVEMENT
23001,17588,82807,NO_IMPROVEMENT
23501,17894,54009,NO_IMPROVEMENT
24001,18232,95410,NO_IMPROVEMENT
24501,18592,61206,NO_IMPROVEMENT
25001,18916,54006,NO_IMPROVEMENT
25501,19244,54007,NO_IMPROVEMENT
26001,19558,59406,NO_IMPROVEMENT
26501,19888,72006,NO_IMPROVEMENT
27001,20230,97209,NO_IMPROVEMENT
27501,20566,86409,NO_IMPROVEMENT
28001,20890,77406,NO_IMPROVEMENT
28501,21242,81002,NO_IMPROVEMENT
29001,21596,81003,NO_IMPROVEMENT
29501,21948,72004,NO_IMPROVEMENT
30001,22294,79202,NO_IMPROVEMENT
30501,22644,61204,NO_IMPROVEMENT
31001,22964,77402,NO_IMPROVEMENT
31501,23298,43202,NO_IMPROVEMENT
32001,23663,48603,NO_IMPROVEMENT
32501,23979,54006,NO_IMPROVEMENT
33001,24301,84608,NO_IMPROVEMENT
33501,24676,64806,NO_IMPROVEMENT
34001,25040,102606,NO_IMPROVEMENT
34501,25425,108008,NO_IMPROVEMENT
35001,25780,117006,NO_IMPROVEMENT
35501,26118,133206,NO_IMPROVEMENT
36001,26488,109809,NO_IMPROVEMENT
36501,26840,106206,NO_IMPROVEMENT
37001,27198,77406,NO_IMPROVEMENT
37501,27561,73808,NO_IMPROVEMENT
38001,27863,90006,NO_IMPROVEMENT
38501,28188,108007,NO_IMPROVEMENT
39001,28551,77407,NO_IMPROVEMENT
39501,28891,99006,NO_IMPROVEMENT
40001,29233,100809,NO_IMPROVEMENT
40501,29584,117011,NO_IMPROVEMENT
41001,29910,113408,NO_IMPROVEMENT
41501,30244,86408,NO_IMPROVEMENT
42001,30569,70208,NO_IMPROVEMENT
42501,30931,77406,NO_IMPROVEMENT
43001,31295,61208,NO_IMPROVEMENT
43501,31664,84608,NO_IMPROVEMENT
44001,32001,68409,NO_IMPROVEMENT
44501,32349,93609,NO_IMPROVEMENT
45001,32705,113412,NO_IMPROVEMENT
