iteration,time_ms,violations,status
0,0,18,INITIAL
1,33,15,NO_IMPROVEMENT
501,279,9,NO_IMPROVEMENT
1001,626,5,NO_IMPROVEMENT
1501,871,4,NO_IMPROVEMENT
2001,1095,10812,NO_IMPROVEMENT
2501,1316,2,NO_IMPROVEMENT
3001,1475,7,NO_IMPROVEMENT
3501,1585,6,NO_IMPROVEMENT
4001,1701,8,NO_IMPROVEMENT
4501,1808,7,NO_IMPROVEMENT
5001,1906,5,NO_IMPROVEMENT
5501,1995,5,NO_IMPROVEMENT
6001,2081,3,NO_IMPROVEMENT
6501,2182,8,NO_IMPROVEMENT
7001,2316,28807,NO_IMPROVEMENT
7501,2433,7,NO_IMPROVEMENT
8001,2531,9,NO_IMPROVEMENT
8501,2625,7,NO_IMPROVEMENT
9001,2728,9,NO_IMPROVEMENT
9501,2794,9,NO_IMPROVEMENT
10001,2871,12606,NO_IMPROVEMENT
10501,2957,6,NO_IMPROVEMENT
11001,3037,9,NO_IMPROVEMENT
11501,3148,5,NO_IMPROVEMENT
12001,3237,5,NO_IMPROVEMENT
12501,3325,5,NO_IMPROVEMENT
13001,3394,5,NO_IMPROVEMENT
13501,3500,8,NO_IMPROVEMENT
14001,3598,3609,NO_IMPROVEMENT
14501,3691,4,NO_IMPROVEMENT
15001,3790,8,NO_IMPROVEMENT
15501,3879,7215,NO_IMPROVEMENT
16001,3978,6,NO_IMPROVEMENT
16501,4076,3610,NO_IMPROVEMENT
17001,4157,5410,NO_IMPROVEMENT
17501,4220,21,NO_IMPROVEMENT
18001,4308,5,NO_IMPROVEMENT
18484,4392,0,FINAL
