iteration,time_ms,violations,status
0,0,19,INITIAL
1,43,7217,NO_IMPROVEMENT
501,761,27011,NO_IMPROVEMENT
1001,1352,3612,NO_IMPROVEMENT
1501,1787,12610,NO_IMPROVEMENT
2001,2301,41411,NO_IMPROVEMENT
2501,2910,28809,NO_IMPROVEMENT
3001,3451,21609,NO_IMPROVEMENT
3501,4057,25206,NO_IMPROVEMENT
4001,4530,23406,NO_IMPROVEMENT
4501,4886,28806,NO_IMPROVEMENT
5001,5530,34206,NO_IMPROVEMENT
5501,5872,41411,NO_IMPROVEMENT
6001,6199,27011,NO_IMPROVEMENT
6501,6493,27004,NO_IMPROVEMENT
7001,6796,46806,NO_IMPROVEMENT
7501,7086,32405,NO_IMPROVEMENT
8001,7380,57605,NO_IMPROVEMENT
8501,7720,23407,NO_IMPROVEMENT
9001,8011,37806,NO_IMPROVEMENT
9501,8298,36006,NO_IMPROVEMENT
10001,8621,57607,NO_IMPROVEMENT
10501,8993,81008,NO_IMPROVEMENT
11001,9302,19808,NO_IMPROVEMENT
11501,9648,36007,NO_IMPROVEMENT
12001,9947,34207,NO_IMPROVEMENT
12501,10239,28810,NO_IMPROVEMENT
13001,10591,50409,NO_IMPROVEMENT
13501,10902,23409,NO_IMPROVEMENT
14001,11226,52207,NO_IMPROVEMENT
14501,11511,52211,NO_IMPROVEMENT
15001,11835,10808,NO_IMPROVEMENT
15501,12154,37807,NO_IMPROVEMENT
16001,12576,23406,NO_IMPROVEMENT
16501,13067,18007,NO_IMPROVEMENT
17001,13399,32407,NO_IMPROVEMENT
17501,13810,46803,NO_IMPROVEMENT
18001,14164,23403,NO_IMPROVEMENT
18501,14498,48604,NO_IMPROVEMENT
19001,14843,30603,NO_IMPROVEMENT
19501,15132,5402,NO_IMPROVEMENT
20001,15494,50400,NO_IMPROVEMENT
20501,15854,30603,NO_IMPROVEMENT
21001,16286,50400,NO_IMPROVEMENT
21501,16682,46801,NO_IMPROVEMENT
22001,17024,50401,NO_IMPROVEMENT
22501,17386,61202,NO_IMPROVEMENT
23001,17728,19802,NO_IMPROVEMENT
23501,18054,61203,NO_IMPROVEMENT
24001,18412,28802,NO_IMPROVEMENT
24501,18746,21602,NO_IMPROVEMENT
25001,19088,27003,NO_IMPROVEMENT
25501,19393,10803,NO_IMPROVEMENT
26001,19723,25203,NO_IMPROVEMENT
26501,20099,41405,NO_IMPROVEMENT
27001,20426,46802,NO_IMPROVEMENT
27501,20774,36003,NO_IMPROVEMENT
28001,21108,37802,NO_IMPROVEMENT
28501,21396,75602,NO_IMPROVEMENT
29001,21751,63003,NO_IMPROVEMENT
29501,22052,59401,NO_IMPROVEMENT
30001,22337,27001,NO_IMPROVEMENT
30501,22647,59401,NO_IMPROVEMENT
31001,22968,30608,NO_IMPROVEMENT
31501,23293,39603,NO_IMPROVEMENT
32001,23614,37800,NO_IMPROVEMENT
32501,23979,12600,NO_IMPROVEMENT
33001,24271,12600,NO_IMPROVEMENT
33501,24633,14400,NO_IMPROVEMENT
34001,24939,27000,NO_IMPROVEMENT
34501,25278,32402,NO_IMPROVEMENT
35001,25699,19801,NO_IMPROVEMENT
35501,26159,16206,NO_IMPROVEMENT
36001,26332,39602,NO_IMPROVEMENT
36501,26695,25215,NO_IMPROVEMENT
37001,27031,39604,NO_IMPROVEMENT
37501,27428,10804,NO_IMPROVEMENT
38001,27696,28804,NO_IMPROVEMENT
38501,27979,10802,NO_IMPROVEMENT
39001,28234,25203,NO_IMPROVEMENT
39501,28490,5,NO_IMPROVEMENT
40001,28619,2,NO_IMPROVEMENT
40501,28948,23402,NO_IMPROVEMENT
41001,29224,27002,NO_IMPROVEMENT
41501,29533,9002,NO_IMPROVEMENT
41598,29593,0,FINAL
