iteration,time_ms,violations,status
0,0,3,INITIAL
1,31,2,NO_IMPROVEMENT
501,92,1,NO_IMPROVEMENT
1001,159,1,NO_IMPROVEMENT
1501,224,1,NO_IMPROVEMENT
2001,289,2,NO_IMPROVEMENT
2501,353,1,NO_IMPROVEMENT
3001,448,2,NO_IMPROVEMENT
3501,561,1,NO_IMPROVEMENT
4001,613,5,NO_IMPROVEMENT
4501,674,5,NO_IMPROVEMENT
5001,740,5,NO_IMPROVEMENT
5501,804,1,NO_IMPROVEMENT
6001,859,5,NO_IMPROVEMENT
6501,910,1,NO_IMPROVEMENT
7001,967,5,NO_IMPROVEMENT
7501,1020,1,NO_IMPROVEMENT
8001,1074,3,NO_IMPROVEMENT
8501,1129,5,NO_IMPROVEMENT
9001,1185,5,NO_IMPROVEMENT
9501,1240,5,NO_IMPROVEMENT
10001,1292,5,NO_IMPROVEMENT
10501,1345,3,NO_IMPROVEMENT
11001,1379,1,NO_IMPROVEMENT
11501,1393,5,NO_IMPROVEMENT
12001,1408,5,NO_IMPROVEMENT
12501,1422,5,NO_IMPROVEMENT
13001,1436,1,NO_IMPROVEMENT
13501,1450,1,NO_IMPROVEMENT
14001,1465,3,NO_IMPROVEMENT
14501,1478,3,NO_IMPROVEMENT
15001,1492,5,NO_IMPROVEMENT
15501,1504,1,NO_IMPROVEMENT
16001,1518,5,NO_IMPROVEMENT
16501,1531,1,NO_IMPROVEMENT
17001,1546,5,NO_IMPROVEMENT
17501,1559,5,NO_IMPROVEMENT
18001,1572,5,NO_IMPROVEMENT
18501,1588,5,NO_IMPROVEMENT
19001,1604,1,NO_IMPROVEMENT
19501,1619,5,NO_IMPROVEMENT
20001,1636,5,NO_IMPROVEMENT
20501,1650,5,NO_IMPROVEMENT
21001,1666,5,NO_IMPROVEMENT
21501,1680,5,NO_IMPROVEMENT
22001,1692,5,NO_IMPROVEMENT
22501,1706,6,NO_IMPROVEMENT
23001,1729,5,NO_IMPROVEMENT
23501,1762,5,NO_IMPROVEMENT
24001,1797,5,NO_IMPROVEMENT
24501,1828,1,NO_IMPROVEMENT
25001,1859,5,NO_IMPROVEMENT
25501,1893,1,NO_IMPROVEMENT
26001,1918,5,NO_IMPROVEMENT
26501,1941,1,NO_IMPROVEMENT
27001,1964,5,NO_IMPROVEMENT
27501,1986,5,NO_IMPROVEMENT
28001,2005,5,NO_IMPROVEMENT
28501,2020,2,NO_IMPROVEMENT
29001,2035,6,NO_IMPROVEMENT
29501,2052,6,NO_IMPROVEMENT
30001,2065,6,NO_IMPROVEMENT
30501,2080,6,NO_IMPROVEMENT
31001,2093,5,NO_IMPROVEMENT
31501,2106,6,NO_IMPROVEMENT
32001,2120,2,NO_IMPROVEMENT
32501,2133,2,NO_IMPROVEMENT
33001,2146,5,NO_IMPROVEMENT
33501,2159,2,NO_IMPROVEMENT
34001,2172,6,NO_IMPROVEMENT
34501,2184,6,NO_IMPROVEMENT
35001,2199,6,NO_IMPROVEMENT
35501,2212,6,NO_IMPROVEMENT
36001,2228,5,NO_IMPROVEMENT
36501,2242,5,NO_IMPROVEMENT
37001,2255,6,NO_IMPROVEMENT
37501,2268,6,NO_IMPROVEMENT
38001,2281,6,NO_IMPROVEMENT
38501,2295,6,NO_IMPROVEMENT
39001,2308,6,NO_IMPROVEMENT
39501,2320,2,NO_IMPROVEMENT
40001,2334,5,NO_IMPROVEMENT
40501,2347,6,NO_IMPROVEMENT
41001,2360,6,NO_IMPROVEMENT
41501,2373,2,NO_IMPROVEMENT
42001,2389,5,NO_IMPROVEMENT
42501,2402,6,NO_IMPROVEMENT
43001,2418,6,NO_IMPROVEMENT
43501,2431,5,NO_IMPROVEMENT
44001,2444,5,NO_IMPROVEMENT
44501,2458,5,NO_IMPROVEMENT
45001,2471,5,NO_IMPROVEMENT
45501,2485,6,NO_IMPROVEMENT
46001,2498,2,NO_IMPROVEMENT
46501,2511,5,NO_IMPROVEMENT
47001,2524,6,NO_IMPROVEMENT
47501,2540,6,NO_IMPROVEMENT
48001,2555,5,NO_IMPROVEMENT
48501,2568,6,NO_IMPROVEMENT
49001,2582,6,NO_IMPROVEMENT
49501,2595,6,NO_IMPROVEMENT
50001,2608,2,NO_IMPROVEMENT
50501,2624,6,NO_IMPROVEMENT
51001,2639,6,NO_IMPROVEMENT
51501,2653,6,NO_IMPROVEMENT
52001,2666,6,NO_IMPROVEMENT
52501,2679,2,NO_IMPROVEMENT
53001,2692,6,NO_IMPROVEMENT
53501,2707,2,NO_IMPROVEMENT
54001,2720,6,NO_IMPROVEMENT
54501,2734,5,NO_IMPROVEMENT
55001,2747,5,NO_IMPROVEMENT
55501,2765,6,NO_IMPROVEMENT
56001,2781,5,NO_IMPROVEMENT
56501,2795,2,NO_IMPROVEMENT
57001,2811,6,NO_IMPROVEMENT
57501,2824,6,NO_IMPROVEMENT
58001,2839,5,NO_IMPROVEMENT
58501,2854,6,NO_IMPROVEMENT
59001,2867,6,NO_IMPROVEMENT
59501,2884,6,NO_IMPROVEMENT
60001,2908,5,NO_IMPROVEMENT
60501,2927,2,NO_IMPROVEMENT
61001,2944,2,NO_IMPROVEMENT
