iteration,time_ms,violations,status
0,0,21,INITIAL
1,56,18,NO_IMPROVEMENT
501,225,5412,NO_IMPROVEMENT
1001,391,16,NO_IMPROVEMENT
1501,550,5,NO_IMPROVEMENT
2001,865,4,NO_IMPROVEMENT
2501,1179,7,NO_IMPROVEMENT
3001,1268,3,NO_IMPROVEMENT
3501,1369,4,NO_IMPROVEMENT
4001,1594,7,NO_IMPROVEMENT
4501,1757,2,NO_IMPROVEMENT
5001,1904,1,NO_IMPROVEMENT
5501,2082,6,NO_IMPROVEMENT
6001,2274,6,NO_IMPROVEMENT
6501,2463,1809,NO_IMPROVEMENT
7001,2638,20,NO_IMPROVEMENT
7501,2809,2,NO_IMPROVEMENT
7599,2845,0,FINAL
