iteration,time_ms,violations,status
0,0,21,INITIAL
1,57,18050,NO_IMPROVEMENT
501,1920,15,NO_IMPROVEMENT
1001,2960,13,NO_IMPROVEMENT
1501,3597,32407,NO_IMPROVEMENT
2001,3914,14,NO_IMPROVEMENT
2501,4160,9,NO_IMPROVEMENT
3001,4404,10,NO_IMPROVEMENT
3501,4623,14,NO_IMPROVEMENT
4001,4886,18012,NO_IMPROVEMENT
4501,5197,8,NO_IMPROVEMENT
5001,5603,6,NO_IMPROVEMENT
5501,5930,9,NO_IMPROVEMENT
6001,6597,9,NO_IMPROVEMENT
6501,6863,7214,NO_IMPROVEMENT
7001,7430,13,NO_IMPROVEMENT
7501,7851,32421,NO_IMPROVEMENT
8001,8065,11,NO_IMPROVEMENT
8501,8584,12,NO_IMPROVEMENT
9001,9103,8,NO_IMPROVEMENT
9501,9336,10,NO_IMPROVEMENT
10001,9645,54014,NO_IMPROVEMENT
10501,9930,9018,NO_IMPROVEMENT
11001,10334,1815,NO_IMPROVEMENT
11501,10707,6,NO_IMPROVEMENT
12001,11177,5,NO_IMPROVEMENT
12501,11410,9,NO_IMPROVEMENT
13001,11642,13,NO_IMPROVEMENT
13501,11867,10,NO_IMPROVEMENT
14001,12128,9,NO_IMPROVEMENT
14501,12336,5,NO_IMPROVEMENT
15001,13001,45008,NO_IMPROVEMENT
15501,13777,5411,NO_IMPROVEMENT
16001,14384,14415,NO_IMPROVEMENT
16501,14984,6,NO_IMPROVEMENT
17001,15835,37806,NO_IMPROVEMENT
17501,16450,12,NO_IMPROVEMENT
18001,17092,12,NO_IMPROVEMENT
18501,18014,13,NO_IMPROVEMENT
19001,18594,6,NO_IMPROVEMENT
19501,18849,7,NO_IMPROVEMENT
20001,19050,7,NO_IMPROVEMENT
20501,19317,10,NO_IMPROVEMENT
21001,19567,13,NO_IMPROVEMENT
21501,19816,3609,NO_IMPROVEMENT
22001,20051,8,NO_IMPROVEMENT
22501,20497,27010,NO_IMPROVEMENT
23001,20851,11,NO_IMPROVEMENT
23501,21363,19,NO_IMPROVEMENT
24001,21588,8,NO_IMPROVEMENT
24501,21901,14411,NO_IMPROVEMENT
25001,22258,8,NO_IMPROVEMENT
25501,22508,6,NO_IMPROVEMENT
26001,22746,10,NO_IMPROVEMENT
26501,23160,18007,NO_IMPROVEMENT
27001,23883,10,NO_IMPROVEMENT
27501,24632,9018,NO_IMPROVEMENT
28001,25229,28809,NO_IMPROVEMENT
28501,25501,12604,NO_IMPROVEMENT
29001,25799,21607,NO_IMPROVEMENT
29501,26203,48610,NO_IMPROVEMENT
30001,26463,11,NO_IMPROVEMENT
30501,26738,13,NO_IMPROVEMENT
31001,27085,11,NO_IMPROVEMENT
31501,27275,25210,NO_IMPROVEMENT
32001,27564,7218,NO_IMPROVEMENT
32501,27955,8,NO_IMPROVEMENT
33001,28181,25211,NO_IMPROVEMENT
33501,28415,13,NO_IMPROVEMENT
34001,28674,28815,NO_IMPROVEMENT
34501,28980,12,NO_IMPROVEMENT
35001,29480,18010,NO_IMPROVEMENT
35501,29751,39614,NO_IMPROVEMENT
36001,30062,18,NO_IMPROVEMENT
36501,30495,18008,NO_IMPROVEMENT
37001,30758,11,NO_IMPROVEMENT
37501,30979,12,NO_IMPROVEMENT
38001,31182,10,NO_IMPROVEMENT
38501,31380,45015,NO_IMPROVEMENT
39001,31791,13,NO_IMPROVEMENT
39501,32042,10,NO_IMPROVEMENT
40001,32262,13,NO_IMPROVEMENT
40501,32863,13,NO_IMPROVEMENT
41001,33110,17,NO_IMPROVEMENT
41501,33353,8,NO_IMPROVEMENT
42001,33670,17,NO_IMPROVEMENT
42501,34125,7,NO_IMPROVEMENT
43001,34321,11,NO_IMPROVEMENT
43501,34541,9,NO_IMPROVEMENT
44001,34970,14412,NO_IMPROVEMENT
44501,35223,7,NO_IMPROVEMENT
45001,36233,6,NO_IMPROVEMENT
45501,36503,4,NO_IMPROVEMENT
46001,36937,1,NO_IMPROVEMENT
46501,37139,1805,NO_IMPROVEMENT
47001,37365,3,NO_IMPROVEMENT
47501,37569,7,NO_IMPROVEMENT
48001,37783,23414,NO_IMPROVEMENT
48501,38064,18,NO_IMPROVEMENT
49001,38265,7211,NO_IMPROVEMENT
49501,38700,11,NO_IMPROVEMENT
50001,38908,11,NO_IMPROVEMENT
50501,39513,12,NO_IMPROVEMENT
51001,39913,32412,NO_IMPROVEMENT
51501,40110,6,NO_IMPROVEMENT
52001,40305,5,NO_IMPROVEMENT
52501,40513,14408,NO_IMPROVEMENT
53001,40769,23405,NO_IMPROVEMENT
53501,40974,6,NO_IMPROVEMENT
54001,41167,14409,NO_IMPROVEMENT
54501,41482,18010,NO_IMPROVEMENT
55001,41849,55805,NO_IMPROVEMENT
55501,42188,9006,NO_IMPROVEMENT
56001,42672,8,NO_IMPROVEMENT
56501,43409,19810,NO_IMPROVEMENT
57001,44324,34215,NO_IMPROVEMENT
57501,44923,11,NO_IMPROVEMENT
58001,45387,12,NO_IMPROVEMENT
58501,45753,25216,NO_IMPROVEMENT
59001,46030,8,NO_IMPROVEMENT
59501,46269,23409,NO_IMPROVEMENT
60001,46504,7,NO_IMPROVEMENT
60501,46733,12620,NO_IMPROVEMENT
61001,47012,15,NO_IMPROVEMENT
61501,47225,9,NO_IMPROVEMENT
62001,47598,16,NO_IMPROVEMENT
62501,47956,14421,NO_IMPROVEMENT
63001,48478,18,NO_IMPROVEMENT
63501,48894,16,NO_IMPROVEMENT
64001,49136,10818,NO_IMPROVEMENT
64501,49421,11,NO_IMPROVEMENT
65001,49617,16,NO_IMPROVEMENT
65501,49832,10824,NO_IMPROVEMENT
66001,50084,3616,NO_IMPROVEMENT
66501,50317,17,NO_IMPROVEMENT
67001,50605,17,NO_IMPROVEMENT
67501,50944,10810,NO_IMPROVEMENT
68001,51359,9,NO_IMPROVEMENT
68501,51601,7212,NO_IMPROVEMENT
69001,51901,9,NO_IMPROVEMENT
69501,52149,8,NO_IMPROVEMENT
70001,52401,9,NO_IMPROVEMENT
70501,52655,11,NO_IMPROVEMENT
71001,53027,9,NO_IMPROVEMENT
71501,53216,21617,NO_IMPROVEMENT
72001,53436,10810,NO_IMPROVEMENT
72501,53659,12,NO_IMPROVEMENT
