iteration,time_ms,violations,status
0,0,16,INITIAL
1,32,45027,NO_IMPROVEMENT
501,611,10,NO_IMPROVEMENT
1001,980,12,NO_IMPROVEMENT
1501,1188,13,NO_IMPROVEMENT
2001,1366,9,NO_IMPROVEMENT
2501,1548,13,NO_IMPROVEMENT
3001,1693,9,NO_IMPROVEMENT
3501,1832,12611,NO_IMPROVEMENT
4001,2014,5416,NO_IMPROVEMENT
4501,2194,3609,NO_IMPROVEMENT
5001,2640,14415,NO_IMPROVEMENT
5501,2981,16209,NO_IMPROVEMENT
6001,3299,21613,NO_IMPROVEMENT
6501,3746,7,NO_IMPROVEMENT
7001,4131,18,NO_IMPROVEMENT
7501,4264,7,NO_IMPROVEMENT
8001,4474,16213,NO_IMPROVEMENT
8501,4814,32413,NO_IMPROVEMENT
9001,5585,9,NO_IMPROVEMENT
9501,6349,18,NO_IMPROVEMENT
10001,7403,32414,NO_IMPROVEMENT
10501,7955,32407,NO_IMPROVEMENT
11001,8196,5,NO_IMPROVEMENT
11501,8458,10,NO_IMPROVEMENT
12001,9129,11,NO_IMPROVEMENT
12501,9763,10,NO_IMPROVEMENT
13001,10308,9,NO_IMPROVEMENT
13501,10766,8,NO_IMPROVEMENT
14001,11265,6,NO_IMPROVEMENT
14501,11924,6,NO_IMPROVEMENT
15001,12690,7,NO_IMPROVEMENT
15501,13016,8,NO_IMPROVEMENT
16001,14022,7,NO_IMPROVEMENT
16501,14438,14,NO_IMPROVEMENT
17001,15466,28808,NO_IMPROVEMENT
17501,15924,45005,NO_IMPROVEMENT
18001,16906,7206,NO_IMPROVEMENT
18501,18290,5,NO_IMPROVEMENT
19001,19252,5,NO_IMPROVEMENT
19501,20499,5,NO_IMPROVEMENT
20001,21440,21601,NO_IMPROVEMENT
20501,21878,4,NO_IMPROVEMENT
21001,23299,5,NO_IMPROVEMENT
21501,24706,48611,NO_IMPROVEMENT
22001,26024,30603,NO_IMPROVEMENT
22501,27596,25206,NO_IMPROVEMENT
23001,28974,8,NO_IMPROVEMENT
23501,29244,6,NO_IMPROVEMENT
24001,29615,10814,NO_IMPROVEMENT
24501,30149,6,NO_IMPROVEMENT
25001,30733,10805,NO_IMPROVEMENT
25501,31474,7,NO_IMPROVEMENT
26001,32029,3,NO_IMPROVEMENT
26501,32433,14,NO_IMPROVEMENT
27001,33720,1808,NO_IMPROVEMENT
27135,34083,0,FINAL
