iteration,time_sec,current_cost,best_cost,hard_violations,improvements
100,0.00,18746,18746,19,74
200,0.00,18026,18026,34,152
300,0.00,17400,17400,39,222
400,0.00,17068,17068,42,271
500,0.00,16721,16721,39,320
600,0.00,16370,16370,50,363
700,0.00,16088,16088,57,402
800,0.00,15906,15906,57,444
900,0.00,15669,15669,61,484
1000,1.00,15502,15502,64,511
1100,1.00,15407,15407,68,535
1200,1.00,15300,15300,69,558
1300,1.00,15175,15175,68,582
1400,1.00,15144,15144,68,595
1500,1.00,15068,15068,69,608
1600,1.00,15012,15012,68,628
1700,1.00,14994,14994,70,638
1800,1.00,14985,14985,68,650
1900,1.00,14981,14981,69,653
2000,1.00,14920,14920,65,662
2100,1.00,14892,14892,72,672
2200,1.00,14877,14877,68,679
2300,1.00,14865,14865,73,687
2400,1.00,14852,14852,71,696
2500,1.00,14802,14802,80,702
2600,1.00,14792,14792,79,705
2700,1.00,14792,14792,74,709
2800,1.00,14775,14775,76,712
2900,1.00,14763,14763,77,715
3000,1.00,14748,14748,71,720
3100,1.00,14746,14746,71,723
3200,1.00,14746,14746,69,725
3300,1.00,14746,14746,68,726
3400,1.00,14746,14746,66,728
3500,1.00,14740,14740,66,730
3600,1.00,14740,14740,66,730
3700,1.00,14739,14739,66,732
3800,1.00,14738,14738,68,733
3900,1.00,14737,14737,68,734
4000,1.00,14737,14737,67,735
4100,1.00,14736,14736,67,736
4200,1.00,14735,14735,66,738
4300,1.00,14734,14734,67,739
4400,1.00,14733,14733,67,740
4500,1.00,14733,14733,66,741
4600,1.00,14733,14733,65,742
4700,1.00,14688,14688,66,744
4800,1.00,14686,14686,66,747
4900,1.00,14654,14654,68,752
5000,1.00,14645,14645,73,757
5100,2.00,14642,14642,71,760
5200,2.00,14641,14641,71,761
5300,2.00,14641,14641,70,762
5400,2.00,14641,14641,70,762
5500,2.00,14638,14638,70,763
5600,2.00,14599,14599,70,765
5700,2.00,14598,14598,70,766
5800,2.00,14598,14598,70,766
5900,2.00,14597,14597,71,768
6000,2.00,14595,14595,69,772
6100,2.00,14595,14595,68,773
6200,2.00,14593,14593,67,776
6300,2.00,14593,14593,67,776
6400,2.00,14593,14593,67,776
6500,2.00,14592,14592,67,777
6600,2.00,14590,14590,67,779
6700,2.00,14590,14590,67,779
6800,2.00,14590,14590,67,779
6900,2.00,14588,14588,69,782
7000,2.00,14587,14587,67,784
7100,2.00,14587,14587,67,784
7200,2.00,14586,14586,68,785
7300,2.00,14586,14586,68,785
7400,2.00,14586,14586,66,786
7500,2.00,14585,14585,66,787
7600,2.00,14585,14585,66,787
7700,2.00,14585,14585,65,788
7800,2.00,14585,14585,65,788
7900,2.00,14584,14584,65,790
8000,2.00,14584,14584,65,790
8100,2.00,14584,14584,65,790
8200,2.00,14584,14584,65,790
8300,2.00,14584,14584,65,790
8400,2.00,14583,14583,66,791
8500,2.00,14583,14583,65,792
8600,2.00,14583,14583,64,793
8700,2.00,14583,14583,64,793
8800,2.00,14583,14583,64,793
8900,2.00,14583,14583,64,793
9000,2.00,14583,14583,64,793
9100,2.00,14583,14583,64,793
9200,2.00,14583,14583,64,793
9300,2.00,14583,14583,64,793
9400,2.00,14583,14583,64,793
9500,2.00,14583,14583,64,793
9600,2.00,14583,14583,64,793
9700,2.00,14583,14583,64,793
9800,2.00,14583,14583,64,793
9900,2.00,14583,14583,64,793
10000,3.00,14583,14583,64,793
10100,3.00,14583,14583,64,793
10200,3.00,14583,14583,64,793
10300,3.00,14583,14583,64,793
10400,3.00,14583,14583,64,793
10500,3.00,14583,14583,64,793
10600,3.00,14583,14583,64,793
10700,3.00,14583,14583,64,793
10800,3.00,14583,14583,63,794
10900,3.00,14583,14583,63,794
11000,3.00,14583,14583,63,794
11100,3.00,14583,14583,63,794
11200,3.00,14583,14583,63,794
11300,3.00,14583,14583,63,794
11400,3.00,14583,14583,63,794
11500,3.00,14583,14583,63,794
11600,3.00,14583,14583,63,794
11700,3.00,14583,14583,63,794
11800,3.00,14583,14583,63,794
11900,3.00,14583,14583,63,794
12000,3.00,14583,14583,63,794
12100,3.00,14583,14583,63,794
12200,3.00,14583,14583,63,794
12300,3.00,14583,14583,63,794
12400,3.00,14583,14583,63,794
12500,3.00,14583,14583,63,794
12600,3.00,14583,14583,63,794
12700,3.00,14583,14583,63,794
12800,3.00,14583,14583,62,795
12900,3.00,14583,14583,62,795
13000,3.00,14583,14583,62,795
13100,3.00,14583,14583,62,795
13200,3.00,14583,14583,62,795
13300,3.00,14583,14583,62,795
13400,3.00,14583,14583,62,795
13500,3.00,14583,14583,62,795
13600,3.00,14583,14583,62,795
13700,3.00,14583,14583,62,795
13800,3.00,14583,14583,62,795
13900,3.00,14583,14583,62,795
14000,3.00,14583,14583,62,795
14100,3.00,14583,14583,62,795
14200,3.00,14583,14583,62,795
14300,3.00,14583,14583,62,795
14400,3.00,14583,14583,62,795
14500,3.00,14583,14583,62,795
14600,3.00,14583,14583,62,795
14700,3.00,14583,14583,62,795
14800,3.00,14583,14583,62,795
14900,3.00,14583,14583,62,795
15000,3.00,14583,14583,62,795
15100,3.00,14583,14583,62,795
15200,3.00,14583,14583,62,795
15300,3.00,14583,14583,62,795
15400,3.00,14583,14583,62,795
15500,4.00,14583,14583,62,795
15600,4.00,14583,14583,62,795
15700,4.00,14583,14583,62,795
15800,4.00,14583,14583,62,795
15900,4.00,14583,14583,62,795
16000,4.00,14583,14583,62,795
16100,4.00,14583,14583,62,795
16200,4.00,14583,14583,62,795
16300,4.00,14583,14583,62,795
16400,4.00,14583,14583,62,795
16500,4.00,14583,14583,62,795
16600,4.00,14583,14583,62,795
16700,4.00,14583,14583,62,795
16800,4.00,14583,14583,62,795
16900,4.00,14583,14583,62,795
17000,4.00,14583,14583,62,795
17100,4.00,14583,14583,62,795
17200,4.00,14583,14583,62,795
17300,4.00,14583,14583,62,795
17400,4.00,14583,14583,62,795
17500,4.00,14583,14583,62,795
17600,4.00,14583,14583,62,795
17700,4.00,14583,14583,62,795
17800,4.00,14583,14583,62,795
17900,4.00,14583,14583,62,795
18000,4.00,14583,14583,62,795
18100,4.00,14583,14583,62,795
18200,4.00,14583,14583,62,795
18300,4.00,14583,14583,62,795
18400,4.00,14583,14583,62,795
18500,4.00,14583,14583,62,795
18600,4.00,14583,14583,62,795
18700,4.00,14583,14583,62,795
18800,4.00,14583,14583,62,795
18900,4.00,14583,14583,62,795
19000,4.00,14583,14583,62,795
19100,4.00,14583,14583,62,795
19200,4.00,14583,14583,62,795
19300,4.00,14578,14578,64,796
19400,4.00,14578,14578,64,796
19500,4.00,14578,14578,64,796
19600,4.00,14578,14578,64,796
19700,4.00,14578,14578,63,797
19800,4.00,14578,14578,63,797
19900,4.00,14578,14578,63,797
20000,4.00,14578,14578,63,797
20100,4.00,14578,14578,63,797
20200,4.00,14578,14578,63,797
20300,4.00,14578,14578,63,797
20400,4.00,14578,14578,63,797
20500,4.00,14578,14578,63,797
20600,4.00,14578,14578,63,797
20700,5.00,14578,14578,63,797
20800,5.00,14578,14578,63,797
20900,5.00,14578,14578,63,797
21000,5.00,14578,14578,63,797
21100,5.00,14578,14578,63,797
21200,5.00,14578,14578,63,797
21300,5.00,14578,14578,62,798
21400,5.00,14578,14578,62,798
21500,5.00,14578,14578,62,798
21600,5.00,14578,14578,62,798
21700,5.00,14578,14578,62,798
21800,5.00,14578,14578,62,798
21900,5.00,14578,14578,62,798
22000,5.00,14578,14578,62,798
22100,5.00,14578,14578,62,798
22200,5.00,14578,14578,62,798
22300,5.00,14578,14578,62,798
22400,5.00,14578,14578,62,798
22500,5.00,14578,14578,62,798
22600,5.00,14578,14578,62,798
22700,5.00,14578,14578,62,798
22800,5.00,14578,14578,62,798
22900,5.00,14578,14578,62,798
23000,5.00,14578,14578,62,798
23100,5.00,14578,14578,62,798
23200,5.00,14578,14578,62,798
23300,5.00,14578,14578,62,798
23400,5.00,14578,14578,62,798
23500,5.00,14578,14578,62,798
23600,5.00,14578,14578,62,798
23700,5.00,14578,14578,62,798
23800,5.00,14578,14578,62,798
23900,5.00,14578,14578,62,798
24000,5.00,14578,14578,62,798
24100,5.00,14578,14578,62,798
24200,5.00,14578,14578,62,798
24300,5.00,14578,14578,62,798
24400,5.00,14578,14578,62,798
24500,5.00,14578,14578,62,798
24600,5.00,14578,14578,62,798
24700,5.00,14578,14578,62,798
24800,5.00,14578,14578,62,798
24900,5.00,14578,14578,62,798
25000,5.00,14578,14578,62,798
25100,5.00,14578,14578,62,798
25200,5.00,14578,14578,62,798
25300,5.00,14578,14578,62,798
25400,5.00,14578,14578,62,798
25500,5.00,14578,14578,62,798
25600,5.00,14578,14578,62,798
25700,6.00,14578,14578,62,798
25800,6.00,14578,14578,62,798
25900,6.00,14578,14578,62,798
26000,6.00,14578,14578,62,798
26100,6.00,14578,14578,62,798
26200,6.00,14578,14578,62,798
26300,6.00,14578,14578,62,798
26400,6.00,14578,14578,62,798
26500,6.00,14578,14578,62,798
26600,6.00,14578,14578,62,798
26700,6.00,14578,14578,62,798
26800,6.00,14578,14578,62,798
26900,6.00,14578,14578,62,798
27000,6.00,14578,14578,62,798
27100,6.00,14578,14578,62,798
27200,6.00,14578,14578,62,798
27300,6.00,14578,14578,62,798
27400,6.00,14578,14578,62,798
27500,6.00,14578,14578,62,798
27600,6.00,14578,14578,62,798
27700,6.00,14578,14578,62,798
27800,6.00,14578,14578,62,798
27900,6.00,14578,14578,62,798
28000,6.00,14578,14578,62,798
28100,6.00,14578,14578,62,798
28200,6.00,14578,14578,62,798
28300,6.00,14578,14578,62,798
28400,6.00,14578,14578,62,798
28500,6.00,14578,14578,62,798
28600,6.00,14578,14578,62,798
28700,6.00,14578,14578,62,798
28800,6.00,14578,14578,62,798
28900,6.00,14578,14578,62,798
29000,6.00,14578,14578,62,798
29100,6.00,14578,14578,62,798
29200,6.00,14578,14578,62,798
29300,6.00,14578,14578,62,798
29400,6.00,14578,14578,62,798
29500,6.00,14578,14578,62,798
29600,6.00,14578,14578,62,798
29700,6.00,14578,14578,62,798
29800,6.00,14578,14578,62,798
29900,6.00,14578,14578,62,798
30000,6.00,14578,14578,62,798
30100,6.00,14578,14578,62,798
30200,6.00,14578,14578,62,798
30300,6.00,14578,14578,62,798
30400,6.00,14578,14578,62,798
30500,6.00,14578,14578,62,798
30600,6.00,14578,14578,62,798
30700,6.00,14578,14578,62,798
30800,6.00,14578,14578,62,798
30900,6.00,14578,14578,62,798
31000,7.00,14578,14578,62,798
31100,7.00,14578,14578,62,798
31200,7.00,14578,14578,62,798
31300,7.00,14578,14578,62,798
31400,7.00,14578,14578,62,798
31500,7.00,14578,14578,62,798
31600,7.00,14578,14578,62,798
31700,7.00,14578,14578,62,798
31800,7.00,14578,14578,62,798
31900,7.00,14578,14578,62,798
32000,7.00,14578,14578,62,798
32100,7.00,14578,14578,62,798
32200,7.00,14578,14578,62,798
32300,7.00,14578,14578,62,798
32400,7.00,14578,14578,62,798
32500,7.00,14578,14578,62,798
32600,7.00,14578,14578,62,798
32700,7.00,14578,14578,62,798
32800,7.00,14578,14578,62,798
32900,7.00,14578,14578,62,798
33000,7.00,14578,14578,62,798
33100,7.00,14578,14578,62,798
33200,7.00,14578,14578,62,798
33300,7.00,14578,14578,62,798
33400,7.00,14578,14578,62,798
33500,7.00,14578,14578,62,798
33600,7.00,14578,14578,62,798
33700,7.00,14578,14578,62,798
33800,7.00,14578,14578,62,798
33900,7.00,14578,14578,62,798
34000,7.00,14578,14578,62,798
34100,7.00,14578,14578,62,798
34200,7.00,14578,14578,62,798
34300,7.00,14578,14578,62,798
34400,7.00,14578,14578,62,798
34500,7.00,14578,14578,62,798
34600,7.00,14578,14578,62,798
34700,7.00,14578,14578,62,798
34800,7.00,14578,14578,62,798
34900,7.00,14578,14578,62,798
35000,7.00,14578,14578,62,798
35100,7.00,14578,14578,62,798
35200,7.00,14578,14578,62,798
35300,7.00,14578,14578,62,798
35400,7.00,14578,14578,62,798
35500,7.00,14578,14578,62,798
35600,7.00,14578,14578,62,798
35700,7.00,14578,14578,62,798
35800,7.00,14578,14578,62,798
35900,7.00,14578,14578,62,798
36000,7.00,14578,14578,62,798
36100,7.00,14578,14578,62,798
36200,7.00,14578,14578,62,798
36300,7.00,14578,14578,62,798
36400,8.00,14578,14578,62,798
36500,8.00,14578,14578,62,798
36600,8.00,14578,14578,62,798
36700,8.00,14578,14578,62,798
36800,8.00,14578,14578,62,798
36900,8.00,14578,14578,62,798
37000,8.00,14578,14578,62,798
37100,8.00,14578,14578,62,798
37200,8.00,14578,14578,62,798
37300,8.00,14578,14578,62,798
37400,8.00,14578,14578,62,798
37500,8.00,14578,14578,62,798
37600,8.00,14578,14578,62,798
37700,8.00,14578,14578,62,798
37800,8.00,14578,14578,62,798
37900,8.00,14578,14578,62,798
38000,8.00,14578,14578,62,798
38100,8.00,14578,14578,62,798
38200,8.00,14578,14578,62,798
38300,8.00,14578,14578,62,798
38400,8.00,14578,14578,62,798
38500,8.00,14578,14578,62,798
38600,8.00,14578,14578,62,798
38700,8.00,14578,14578,62,798
38800,8.00,14578,14578,62,798
38900,8.00,14578,14578,62,798
39000,8.00,14578,14578,62,798
39100,8.00,14578,14578,62,798
39200,8.00,14578,14578,62,798
39300,8.00,14578,14578,62,798
39400,8.00,14578,14578,62,798
39500,8.00,14578,14578,62,798
39600,8.00,14578,14578,62,798
39700,8.00,14578,14578,62,798
39800,8.00,14578,14578,62,798
39900,8.00,14578,14578,62,798
40000,8.00,14578,14578,62,798
40100,8.00,14578,14578,62,798
40200,8.00,14578,14578,62,798
