iteration,time_sec,current_cost,best_cost,hard_violations,improvements
100,0.00,11465,11167,0,0
200,0.00,10817,10817,0,3
300,0.00,9616,9613,0,6
400,0.00,8893,8893,0,10
500,0.00,8893,8893,0,10
600,0.00,8872,8872,0,11
700,0.00,8892,8872,0,11
800,0.00,8872,8872,0,11
900,0.00,8852,8852,0,12
1000,0.00,8848,8848,0,13
1100,0.00,8848,8848,0,13
1200,0.00,8875,8848,0,13
1300,0.00,8747,8747,0,14
1400,0.00,8747,8747,0,14
1500,0.00,9230,8747,0,14
1600,0.00,9230,8747,0,14
1700,0.00,9250,8747,0,14
1800,0.00,9254,8747,0,14
1900,0.00,9236,8747,0,14
2000,0.00,9216,8747,0,14
2100,0.00,9216,8747,0,14
2200,0.00,9215,8747,0,14
2300,0.00,9215,8747,0,14
2400,0.00,9078,8747,0,14
2500,0.00,9078,8747,0,14
2600,0.00,9078,8747,0,14
2700,0.00,9078,8747,0,14
2800,0.00,9078,8747,0,14
2900,0.00,9078,8747,0,14
3000,0.00,9078,8747,0,14
3100,0.00,9078,8747,0,14
3200,0.00,9078,8747,0,14
3300,0.00,9078,8747,0,14
3400,0.00,9127,8747,0,14
3500,0.00,9127,8747,0,14
3600,0.00,9127,8747,0,14
3700,0.00,9082,8747,0,14
3800,0.00,9082,8747,0,14
3900,0.00,9091,8747,0,14
4000,0.00,8546,8546,0,15
4100,0.00,8551,8546,0,15
4200,0.00,8546,8546,0,15
4300,0.00,8546,8546,0,15
4400,1.00,8546,8546,0,15
4500,1.00,7920,7920,0,16
4600,1.00,7896,7896,0,18
4700,1.00,7896,7896,0,18
4800,1.00,7896,7896,0,18
4900,1.00,7931,7896,0,18
5000,1.00,7924,7896,0,18
5100,1.00,7924,7896,0,18
5200,1.00,7923,7896,0,18
5300,1.00,7817,7817,0,19
5400,1.00,7813,7813,0,20
5500,1.00,7813,7813,0,20
5600,1.00,7813,7813,0,20
5700,1.00,7828,7813,0,20
5800,1.00,7813,7813,0,20
5900,1.00,7814,7813,0,20
6000,1.00,7814,7813,0,20
6100,1.00,7820,7813,0,20
6200,1.00,7820,7813,0,20
6300,1.00,7820,7813,0,20
6400,1.00,7820,7813,0,20
6500,1.00,7820,7813,0,20
6600,1.00,7820,7813,0,20
6700,1.00,7824,7813,0,20
6800,1.00,7825,7813,0,20
6900,1.00,7824,7813,0,20
7000,1.00,7824,7813,0,20
7100,1.00,7824,7813,0,20
7200,1.00,7822,7813,0,20
7300,1.00,7837,7813,0,20
7400,1.00,7822,7813,0,20
7500,1.00,7837,7813,0,20
7600,1.00,7837,7813,0,20
7700,1.00,7817,7813,0,20
7800,1.00,7813,7813,0,20
7900,1.00,7822,7813,0,20
8000,1.00,7829,7813,0,20
8100,1.00,7829,7813,0,20
8200,1.00,7822,7813,0,20
8300,1.00,7844,7813,0,20
8400,1.00,7849,7813,0,20
8500,1.00,7847,7813,0,20
8600,1.00,7838,7813,0,20
8700,1.00,7829,7813,0,20
8800,1.00,7829,7813,0,20
8900,1.00,7838,7813,0,20
9000,1.00,7838,7813,0,20
9100,1.00,7848,7813,0,20
9200,1.00,7838,7813,0,20
9300,1.00,7828,7813,0,20
9400,1.00,7828,7813,0,20
9500,1.00,7828,7813,0,20
9600,2.00,7828,7813,0,20
9700,2.00,7828,7813,0,20
9800,2.00,7828,7813,0,20
9900,2.00,7828,7813,0,20
10000,2.00,7828,7813,0,20
10100,2.00,7819,7813,0,20
10200,2.00,7828,7813,0,20
10300,2.00,7837,7813,0,20
10400,2.00,7837,7813,0,20
10500,2.00,7822,7813,0,20
10600,2.00,7813,7813,0,20
10700,2.00,7813,7813,0,20
10800,2.00,7823,7813,0,20
10900,2.00,7823,7813,0,20
11000,2.00,7823,7813,0,20
11100,2.00,7823,7813,0,20
11200,2.00,7813,7813,0,20
11300,2.00,7840,7813,0,20
11400,2.00,7840,7813,0,20
11500,2.00,7840,7813,0,20
11600,2.00,7727,7727,0,21
11700,2.00,7727,7727,0,21
11800,2.00,7727,7727,0,21
11900,2.00,7727,7727,0,21
12000,2.00,7727,7727,0,21
12100,2.00,7726,7726,0,22
