iteration,time_sec,current_cost,best_cost,hard_violations,improvements
100,0.00,34650,34206,0,14
200,1.00,34196,34196,0,15
300,2.00,34644,34196,0,15
400,2.00,34658,34196,0,15
500,2.00,34443,34196,0,15
600,3.00,34439,34196,0,15
700,3.00,34319,34196,0,15
800,3.00,34185,34185,0,16
900,3.00,34185,34185,0,16
1000,3.00,34177,34177,0,17
1100,4.00,34079,34079,0,18
1200,4.00,34006,34006,0,19
1300,4.00,34066,33866,0,22
1400,4.00,34012,33866,0,22
1500,4.00,34251,33866,0,22
1600,5.00,34309,33866,0,22
1700,5.00,34309,33866,0,22
1800,5.00,34322,33866,0,22
1900,5.00,34369,33866,0,22
2000,5.00,34369,33866,0,22
2100,5.00,34369,33866,0,22
2200,6.00,34369,33866,0,22
2300,6.00,34300,33866,0,22
2400,6.00,34418,33866,0,22
2500,6.00,34418,33866,0,22
2600,7.00,34418,33866,0,22
2700,7.00,34418,33866,0,22
2800,7.00,34418,33866,0,22
2900,7.00,34418,33866,0,22
3000,8.00,34418,33866,0,22
3100,8.00,34418,33866,0,22
3200,8.00,34360,33866,0,22
3300,8.00,34261,33866,0,22
3400,8.00,34261,33866,0,22
3500,8.00,34301,33866,0,22
3600,9.00,34432,33866,0,22
3700,9.00,34303,33866,0,22
3800,9.00,34130,33866,0,22
3900,9.00,34130,33866,0,22
4000,9.00,33995,33866,0,22
4100,10.00,34147,33866,0,22
4200,10.00,34147,33866,0,22
4300,10.00,34039,33866,0,22
4400,10.00,34039,33866,0,22
4500,10.00,33665,33665,0,23
4600,10.00,33665,33665,0,23
4700,11.00,33333,33333,0,26
4800,11.00,33333,33333,0,26
4900,11.00,33340,33333,0,26
5000,11.00,33343,33218,0,27
5100,12.00,33343,33218,0,27
5200,12.00,33282,33218,0,27
5300,12.00,33272,33218,0,27
5400,12.00,33154,33154,0,28
5500,12.00,33098,33098,0,29
5600,13.00,33098,33098,0,29
5700,13.00,33098,33098,0,29
5800,13.00,33098,33098,0,29
5900,13.00,33178,33098,0,29
6000,13.00,33178,33098,0,29
6100,14.00,33178,33098,0,29
6200,14.00,33178,33098,0,29
6300,14.00,33178,33098,0,29
6400,14.00,33178,33098,0,29
6500,14.00,33176,33098,0,29
6600,14.00,33109,33098,0,29
6700,15.00,32944,32944,0,30
6800,15.00,33123,32944,0,30
